"Chronic Absenteeism"
7/1/2024

Year,Level,Division,School,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","Economically Disadvantaged",14,4,77.8,22.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","English Learners",<,<,83.3,16.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",Female,104,8,92.9,7.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",Hispanic,11,2,84.6,15.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",Male,112,3,97.4,2.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","Multiple Races",21,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","Native Hawaiian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","Students with Disabilities",22,2,91.7,8.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",White,160,6,96.4,3.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High","All Students",1110,39,96.6,3.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High","American Indian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High",Asian,35,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High",Black,17,1,94.4,5.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High","Economically Disadvantaged",142,14,91,9
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High","English Learners",13,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High",Female,508,20,96.2,3.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High",Hispanic,55,1,98.2,1.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High",Male,602,19,96.9,3.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High","Multiple Races",34,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High","Native Hawaiian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High","Students with Disabilities",124,14,89.9,10.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Western Albemarle High",White,968,36,96.4,3.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary","All Students",456,81,84.9,15.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Asian,51,1,98.1,1.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Black,137,38,78.3,21.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary","Economically Disadvantaged",287,72,79.9,20.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary","English Learners",113,28,80.1,19.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Female,228,40,85.1,14.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Hispanic,91,29,75.8,24.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Homeless,6,5,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Male,228,41,84.8,15.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary","Multiple Races",35,4,89.7,10.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary","Students with Disabilities",49,10,83.1,16.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Woodbrook Elementary",White,142,9,94,6
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","All Students",337,92,78.6,21.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Asian,24,4,85.7,14.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Black,70,21,76.9,23.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","Economically Disadvantaged",157,60,72.4,27.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","English Learners",81,39,67.5,32.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Female,157,42,78.9,21.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Hispanic,75,44,63,37
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Male,180,49,78.6,21.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","Multiple Races",40,5,88.9,11.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","Students with Disabilities",36,15,70.6,29.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",White,128,18,87.7,12.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High","All Students",1541,372,80.6,19.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High",Asian,134,15,89.9,10.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High",Black,213,89,70.5,29.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High","Economically Disadvantaged",388,202,65.8,34.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High","English Learners",147,78,65.3,34.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High",Female,747,182,80.4,19.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High",Hispanic,231,102,69.4,30.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High",Homeless,9,14,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High",Male,793,189,80.8,19.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High","Multiple Races",97,24,80.2,19.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High","Students with Disabilities",162,62,72.3,27.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Albemarle High",White,863,142,85.9,14.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem","All Students",609,64,90.5,9.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Asian,44,11,80,20
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Black,57,11,83.8,16.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Economically Disadvantaged",141,32,81.5,18.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem","English Learners",79,13,85.9,14.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Female,320,25,92.8,7.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Hispanic,94,11,89.5,10.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Male,289,39,88.1,11.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Multiple Races",65,7,90.3,9.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Native Hawaiian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Students with Disabilities",68,13,84,16
"2021 - 2022",SCH,"Albemarle County Public Schools","Baker-Butler Elem",White,345,24,93.5,6.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","All Students",220,36,85.9,14.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Asian,<,<,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Black,<,<,50,50
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","Economically Disadvantaged",31,12,72.1,27.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","English Learners",<,<,60,40
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Female,116,18,86.6,13.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Hispanic,9,7,56.3,43.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Male,104,18,85.2,14.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","Multiple Races",12,0,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","Students with Disabilities",21,6,77.8,22.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",White,194,26,88.2,11.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary","All Students",706,48,93.6,6.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary",Asian,40,1,97.6,2.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary",Black,15,2,88.2,11.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary","Economically Disadvantaged",87,23,79.1,20.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary","English Learners",11,2,84.6,15.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary",Female,337,26,92.8,7.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary",Hispanic,33,1,97.1,2.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary",Male,369,22,94.4,5.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary","Multiple Races",43,4,91.5,8.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary","Native Hawaiian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary","Students with Disabilities",66,9,88,12
"2021 - 2022",SCH,"Albemarle County Public Schools","Brownsville Elementary",White,574,40,93.5,6.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School","All Students",172,17,91,9
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School",Asian,<,<,85.7,14.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School",Black,<,<,85.7,14.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School","Economically Disadvantaged",10,2,83.3,16.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School","English Learners",<,<,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School",Female,88,13,87.1,12.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School",Hispanic,19,3,86.4,13.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School",Male,84,4,95.5,4.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School","Multiple Races",14,2,87.5,12.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School","Students with Disabilities",37,3,92.5,7.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Community Lab School",White,126,10,92.6,7.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary","All Students",299,32,90.3,9.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary",Asian,<,<,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary",Black,<,<,66.7,33.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary","Economically Disadvantaged",48,14,77.4,22.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary","English Learners",<,<,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary",Female,142,12,92.2,7.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary",Hispanic,23,4,85.2,14.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary",Male,157,20,88.7,11.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary","Multiple Races",8,5,61.5,38.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary","Native Hawaiian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary","Students with Disabilities",29,6,82.9,17.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Crozet Elementary",White,257,22,92.1,7.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary","All Students",305,33,90.2,9.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary",Asian,64,0,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary",Black,10,6,62.5,37.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary","Economically Disadvantaged",39,13,75,25
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary","English Learners",26,1,96.3,3.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary",Female,152,16,90.5,9.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary",Hispanic,19,3,86.4,13.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary",Male,153,17,90,10
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary","Multiple Races",31,3,91.2,8.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary","Native Hawaiian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary","Students with Disabilities",41,8,83.7,16.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Hollymead Elementary",White,180,20,90,10
"2021 - 2022",SCH,"Albemarle County Public Schools","Ivy Elementary","All Students",302,17,94.7,5.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Ivy Elementary",Asian,<,<,80,20
"2021 - 2022",SCH,"Albemarle County Public Schools","Ivy Elementary","Economically Disadvantaged",19,6,76,24
"2021 - 2022",SCH,"Albemarle County Public Schools","Ivy Elementary","English Learners",<,<,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Ivy Elementary",Female,125,7,94.7,5.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Ivy Elementary",Hispanic,22,0,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Ivy Elementary",Male,177,10,94.7,5.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Ivy Elementary","Multiple Races",9,2,81.8,18.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Ivy Elementary","Students with Disabilities",33,5,86.8,13.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Ivy Elementary",White,267,14,95,5
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","All Students",535,64,89.3,10.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Asian,27,1,96.4,3.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Black,100,23,81.3,18.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Economically Disadvantaged",199,42,82.6,17.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","English Learners",104,7,93.7,6.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Female,262,35,88.2,11.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Hispanic,136,10,93.2,6.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Homeless,4,6,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Male,272,29,90.4,9.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Multiple Races",32,4,88.9,11.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Native Hawaiian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Students with Disabilities",74,13,85.1,14.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",White,239,26,90.2,9.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","All Students",753,82,90.2,9.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Asian,35,1,97.2,2.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Black,12,5,70.6,29.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Economically Disadvantaged",80,40,66.7,33.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","English Learners",13,5,72.2,27.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Female,373,41,90.1,9.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Hispanic,37,11,77.1,22.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Male,380,41,90.3,9.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Multiple Races",34,6,85,15
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Native Hawaiian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Students with Disabilities",73,14,83.9,16.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",White,631,59,91.4,8.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle","All Students",609,81,88.3,11.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle",Asian,35,0,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle",Black,129,20,86.6,13.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle","Economically Disadvantaged",280,51,84.6,15.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle","English Learners",131,26,83.4,16.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle",Female,278,46,85.8,14.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle",Hispanic,145,26,84.8,15.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle",Homeless,9,4,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle",Male,330,35,90.4,9.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle","Multiple Races",47,6,88.7,11.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle","Students with Disabilities",94,13,87.9,12.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Journey Middle",White,251,29,89.6,10.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle","All Students",470,66,87.7,12.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle",Asian,51,3,94.4,5.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle",Black,27,6,81.8,18.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle","Economically Disadvantaged",81,35,69.8,30.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle","English Learners",36,10,78.3,21.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle",Female,243,36,87.1,12.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle",Hispanic,47,10,82.5,17.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle",Male,227,30,88.3,11.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle","Multiple Races",41,6,87.2,12.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle","Students with Disabilities",40,7,85.1,14.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Lakeside Middle",White,303,41,88.1,11.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","All Students",249,74,77.1,22.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Asian,<,<,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Black,26,2,92.9,7.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Economically Disadvantaged",61,53,53.5,46.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","English Learners",12,4,75,25
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Female,116,44,72.5,27.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Hispanic,23,6,79.3,20.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Male,132,30,81.5,18.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Multiple Races",12,7,63.2,36.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Students with Disabilities",34,20,63,37
"2021 - 2022",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",White,183,59,75.6,24.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","All Students",332,129,72,28
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Asian,28,3,90.3,9.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Black,86,30,74.1,25.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","Economically Disadvantaged",173,88,66.3,33.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","English Learners",111,63,63.8,36.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Female,171,61,73.7,26.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Hispanic,96,59,61.9,38.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Male,161,68,70.3,29.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","Multiple Races",29,16,64.4,35.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","Students with Disabilities",46,18,71.9,28.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",White,92,21,81.4,18.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High","All Students",929,267,77.7,22.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High",Asian,30,4,88.2,11.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High",Black,103,36,74.1,25.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High","Economically Disadvantaged",251,136,64.9,35.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High","English Learners",46,26,63.9,36.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High",Female,463,125,78.7,21.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High",Hispanic,148,53,73.6,26.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High",Male,466,142,76.6,23.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High","Multiple Races",62,21,74.7,25.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High","Native Hawaiian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High","Students with Disabilities",118,48,71.1,28.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Monticello High",White,583,153,79.2,20.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary","All Students",549,135,80.3,19.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary",Asian,19,5,79.2,20.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary",Black,66,34,66,34
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary","Economically Disadvantaged",186,86,68.4,31.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary","English Learners",94,42,69.1,30.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary",Female,253,66,79.3,20.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary",Hispanic,139,54,72,28
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary",Homeless,7,3,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary",Male,296,69,81.1,18.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary","Multiple Races",48,7,87.3,12.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary","Native Hawaiian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary","Students with Disabilities",66,23,74.2,25.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Mountain View Elementary",White,277,33,89.4,10.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary","All Students",122,49,71.3,28.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary",Asian,<,<,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary",Black,<,<,66.7,33.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary","Economically Disadvantaged",52,32,61.9,38.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary","English Learners",9,2,81.8,18.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary",Female,58,22,72.5,27.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary",Hispanic,16,12,57.1,42.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary",Male,64,27,70.3,29.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary","Multiple Races",10,3,76.9,23.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary","Students with Disabilities",23,11,67.6,32.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Red Hill Elementary",White,89,31,74.2,25.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary","All Students",172,29,85.6,14.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary",Black,20,8,71.4,28.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary","Economically Disadvantaged",70,22,76.1,23.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary","English Learners",<,<,100,0
