"Chronic Absenteeism"
7/1/2024

Year,Level,Division,School,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2022 - 2023",SCH,"Charlottesville City Public Schools","Clark Elementary",Male,102,51,66.7,33.3
"2022 - 2023",SCH,"Charlottesville City Public Schools","Clark Elementary","Multiple Races",41,13,75.9,24.1
"2022 - 2023",SCH,"Charlottesville City Public Schools","Clark Elementary","Students with Disabilities",15,13,53.6,46.4
"2022 - 2023",SCH,"Charlottesville City Public Schools","Clark Elementary",White,55,26,67.9,32.1
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","All Students",250,26,90.6,9.4
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Asian,17,2,89.5,10.5
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Black,35,5,87.5,12.5
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","Economically Disadvantaged",89,22,80.2,19.8
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","English Learners",48,13,78.7,21.3
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Female,121,11,91.7,8.3
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Hispanic,30,8,78.9,21.1
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Homeless,<,<,,
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Male,129,15,89.6,10.4
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","Multiple Races",30,5,85.7,14.3
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","Students with Disabilities",25,1,96.2,3.8
"2022 - 2023",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",White,138,6,95.8,4.2
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary","All Students",251,51,83.1,16.9
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Asian,17,2,89.5,10.5
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Black,67,14,82.7,17.3
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary","Economically Disadvantaged",132,48,73.3,26.7
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary","English Learners",44,17,72.1,27.9
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Female,122,17,87.8,12.2
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Hispanic,28,12,70,30
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Homeless,<,<,,
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Male,129,34,79.1,20.9
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary","Multiple Races",32,17,65.3,34.7
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary","Students with Disabilities",36,22,62.1,37.9
"2022 - 2023",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",White,107,6,94.7,5.3
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary","All Students",235,50,82.5,17.5
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary",Asian,<,<,87.5,12.5
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary",Black,69,25,73.4,26.6
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary","Economically Disadvantaged",109,42,72.2,27.8
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary","English Learners",39,9,81.3,18.7
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary",Female,116,19,85.9,14.1
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary",Hispanic,21,3,87.5,12.5
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary",Homeless,<,<,,
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary",Male,119,31,79.3,20.7
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary","Multiple Races",42,14,75,25
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary","Students with Disabilities",24,5,82.8,17.2
"2022 - 2023",SCH,"Charlottesville City Public Schools","Johnson Elementary",White,96,7,93.2,6.8
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary","All Students",237,43,84.6,15.4
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary",Asian,7,3,70,30
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary",Black,51,20,71.8,28.2
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary","Economically Disadvantaged",80,36,69,31
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary","English Learners",22,8,73.3,26.7
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary",Female,119,22,84.4,15.6
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary",Hispanic,13,2,86.7,13.3
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary",Homeless,<,<,,
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary",Male,118,21,84.9,15.1
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary","Multiple Races",31,9,77.5,22.5
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary","Students with Disabilities",25,4,86.2,13.8
"2022 - 2023",SCH,"Charlottesville City Public Schools","Venable Elementary",White,135,9,93.8,6.2
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary","All Students",454,154,74.7,25.3
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary",Asian,28,7,80,20
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary",Black,108,52,67.5,32.5
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary","Economically Disadvantaged",229,114,66.8,33.2
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary","English Learners",104,40,72.2,27.8
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary",Female,213,64,76.9,23.1
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary",Hispanic,69,20,77.5,22.5
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary",Homeless,7,9,,
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary",Male,241,90,72.8,27.2
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary","Multiple Races",54,35,60.7,39.3
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary","Students with Disabilities",64,29,68.8,31.2
"2022 - 2023",SCH,"Charlottesville City Public Schools","Walker Upper Elementary",White,195,40,83,17
