case_number,agency,area,reported_date,crime_code,block_address,verified,locality,description,address,lon,lat
2020-00009448,CPD,DS-1,2020-04-08T21:13:17Z,Shots Fired,GARRETT ST,VERIFIED,Charlottesville,Shots Fired,GARRETT ST Charlottesville,-78.4812204,38.0282846
2020-00018800,ACPD,S3-20,2020-04-09T20:14:04Z,Shots Fired,300 CEDAR BLUFF RD,VERIFIED,Albemarle County,Shots Fired,300 CEDAR BLUFF RD Albemarle County,-78.4903435,38.0989336
2020-00009649,CPD,DS-6,2020-04-11T02:24:43Z,Shots Fired,LONGWOOD DR,VERIFIED,Charlottesville,Shots Fired,LONGWOOD DR Charlottesville,-78.5059835,38.0137972
2020-00009742,CPD,DS-2,2020-04-11T23:51:44Z,Shots Fired,1ST ST,VERIFIED,Charlottesville,Shots Fired,1ST ST Charlottesville,-78.4866609,38.0215864
2020-00019544,ACPD,S4-10,2020-04-13T18:23:47Z,Shots Fired,4800 TURKEY SAG RD,VERIFIED,Albemarle County,Shots Fired,4800 TURKEY SAG RD Albemarle County,-78.3345719,38.1065731
2020-00010346,CPD,CASE,2020-04-19T11:34:19Z,13A,800 CHERRY AVE,CASE,Charlottesville,Aggravated Assault,800 CHERRY AVE Charlottesville,-78.4933791,38.0283117
2020-00020656,ACPD,S3-20,2020-04-19T16:44:13Z,Shots Fired,1600 FRAYS RIDGE XING,VERIFIED,Albemarle County,Shots Fired,1600 FRAYS RIDGE XING Albemarle County,-78.455866,38.1861107
2020-00010381,CPD,DS-2,2020-04-19T21:44:25Z,Shots Fired,400 GARRETT ST,VERIFIED,Charlottesville,Shots Fired,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2020-00010382,CPD,DN-19,2020-04-19T21:56:03Z,Shots Fired,1900 SWANSON DR,VERIFIED,Charlottesville,Shots Fired,1900 SWANSON DR Charlottesville,-78.494151,38.0618151
2020-00021872,ACPD,S3-20,2020-04-25T11:05:38Z,Shots Fired,3100 EARLYSVILLE RD,VERIFIED,Albemarle County,Shots Fired,3100 EARLYSVILLE RD Albemarle County,-78.46626200000001,38.1220442
2020-00022588,ACPD,S3-20,2020-04-29T11:17:30Z,Shots Fired,500 ALLEN RD,VERIFIED,Albemarle County,Shots Fired,500 ALLEN RD Albemarle County,-78.5179124,38.1862086
2020-00022682,ACPD,S7-16,2020-04-29T19:02:33Z,Shots Fired,4100 LUXOR TERRACE DR,VERIFIED,Albemarle County,Shots Fired,4100 LUXOR TERRACE DR Albemarle County,-78.65059959999999,38.0858438
2020-00022685,ACPD,S3-20,2020-04-29T19:19:19Z,Shots Fired,300 CEDAR BLUFF RD,VERIFIED,Albemarle County,Shots Fired,300 CEDAR BLUFF RD Albemarle County,-78.4903435,38.0989336
2020-00022934,ACPD,S2-1,2020-04-30T22:27:00Z,Shots Fired,800 MALLSIDE FOREST CT,VERIFIED,Albemarle County,Shots Fired,800 MALLSIDE FOREST CT Albemarle County,-78.4684583,38.07985
2020-00023148,ACPD,S7-5,2020-05-01T20:12:35Z,Shots Fired,400 ROOKWOOD DR,VERIFIED,Albemarle County,Shots Fired,400 ROOKWOOD DR Albemarle County,-78.5496886,38.0473627
2020-00011582,CPD,CASE,2020-05-02T21:02:19Z,13A,GARDEN ST,CASE,Charlottesville,Aggravated Assault,GARDEN ST Charlottesville,-78.4735045,38.0244335
2020-00023502,ACPD,S5-14,2020-05-03T18:45:01Z,Shots Fired,7800 OLD DOMINION RD,VERIFIED,Albemarle County,Shots Fired,7800 OLD DOMINION RD Albemarle County,-78.66944889999999,37.8225992
2020-00023531,ACPD,CASE,2020-05-03T22:52:31Z,13A,800 MALLSIDE FOREST CT,CASE,Albemarle County,Aggravated Assault,800 MALLSIDE FOREST CT Albemarle County,-78.4684583,38.07985
2020-00025203,ACPD,S3-20,2020-05-10T14:41:19Z,Shots Fired,4900 MILLER RD,VERIFIED,Albemarle County,Shots Fired,4900 MILLER RD Albemarle County,-78.6114999,38.0567092
2020-00025597,ACPD,S5-13,2020-05-12T14:27:15Z,Shots Fired,RIDING CLUB RD,VERIFIED,Albemarle County,Shots Fired,RIDING CLUB RD Albemarle County,-78.5563538,37.8527233
2020-00025821,ACPD,S3-20,2020-05-13T18:10:38Z,Shots Fired,800 FRAYS RIDGE RD,VERIFIED,Albemarle County,Shots Fired,800 FRAYS RIDGE RD Albemarle County,-78.4593838,38.1837194
2020-00025825,ACPD,S5-13,2020-05-13T18:56:29Z,Shots Fired,2600 MILTON HILLS DR,VERIFIED,Albemarle County,Shots Fired,2600 MILTON HILLS DR Albemarle County,-78.40880659999999,37.9906306
2020-00026030,ACPD,S3-9,2020-05-14T19:23:33Z,Shots Fired,2600 FRAYS MILL RD,VERIFIED,Albemarle County,Shots Fired,2600 FRAYS MILL RD Albemarle County,-78.4090815,38.1913924
2020-00013107,CPD,CASE,2020-05-15T21:42:56Z,13A,800 HENRY AVE,CASE,Charlottesville,Aggravated Assault,800 HENRY AVE Charlottesville,-78.48585729999999,38.03826979999999
2020-00026411,ACPD,S4-11,2020-05-16T17:16:08Z,Shots Fired,6700 HUCKLEBERRY LN,VERIFIED,Albemarle County,Shots Fired,6700 HUCKLEBERRY LN Albemarle County,-78.2680772,38.0777663
2020-00013442,CPD,DN-15,2020-05-19T01:20:25Z,Shots Fired,1500 RUGBY RD,VERIFIED,Charlottesville,Shots Fired,1500 RUGBY RD Charlottesville,-78.488247,38.0551839
2020-00026994,ACPD,S2-1,2020-05-19T10:18:16Z,Shots Fired,800 CHAPEL HILL RD,VERIFIED,Albemarle County,Shots Fired,800 CHAPEL HILL RD Albemarle County,-78.4719107,38.0709536
2020-00027639,ACPD,S5-14,2020-05-22T19:24:05Z,Shots Fired,7300 FARLEY LN,VERIFIED,Albemarle County,Shots Fired,7300 FARLEY LN Albemarle County,-78.6783057,37.8340865
2020-00027740,ACPD,S5-14,2020-05-23T11:01:39Z,Shots Fired,3000 RED ROW LN,VERIFIED,Albemarle County,Shots Fired,3000 RED ROW LN Albemarle County,-78.60355919999999,37.8309387
2020-00027820,ACPD,S3-20,2020-05-23T18:42:12Z,Shots Fired,500 GLENGARRY CT,VERIFIED,Albemarle County,Shots Fired,500 GLENGARRY CT Albemarle County,-78.4800431,38.1403877
2020-00027829,ACPD,S3-20,2020-05-23T19:46:49Z,Shots Fired,500 GLENGARRY CT,VERIFIED,Albemarle County,Shots Fired,500 GLENGARRY CT Albemarle County,-78.4800431,38.1403877
2020-00027993,ACPD,S8-18,2020-05-24T13:21:22Z,Shots Fired,1700 WOODS GAP RD,VERIFIED,Albemarle County,Shots Fired,1700 WOODS GAP RD Albemarle County,-78.779169,38.085325
2020-00014178,CPD,DS-10,2020-05-26T02:35:22Z,Shots Fired,JEFFERSON PARK AVE,VERIFIED,Charlottesville,Shots Fired,JEFFERSON PARK AVE Charlottesville,-78.5099107,38.0284661
2020-00028690,ACPD,S3-20,2020-05-27T14:51:48Z,Shots Fired,500 WILLWOOD DR,VERIFIED,Albemarle County,Shots Fired,500 WILLWOOD DR Albemarle County,-78.5180532,38.1374319
2020-00014428,CPD,CASE,2020-05-28T03:18:53Z,13A,300 10TH ST,CASE,Charlottesville,Aggravated Assault,300 10TH ST Charlottesville,-78.47275859999999,38.0298911
2020-00014724,CPD,CASE,2020-05-30T23:48:00Z,13A,900 1ST ST,CASE,Charlottesville,Aggravated Assault,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2020-00014843,CPD,DN-3,2020-06-01T04:46:45Z,Shots Fired,PRESTON AVE,VERIFIED,Charlottesville,Shots Fired,PRESTON AVE Charlottesville,-78.4892925,38.03779
2020-00014928,CPD,DS-3,2020-06-02T00:23:57Z,Shots Fired,ELLIOTT AVE,VERIFIED,Charlottesville,Shots Fired,ELLIOTT AVE Charlottesville,-78.4813886,38.0212784
2020-00014933,CPD,DS-3,2020-06-02T01:15:52Z,Shots Fired,1ST ST,VERIFIED,Charlottesville,Shots Fired,1ST ST Charlottesville,-78.4866609,38.0215864
2020-00014953,CPD,DS-1,2020-06-02T06:06:04Z,Shots Fired,600 BELMONT AVE,VERIFIED,Charlottesville,Shots Fired,600 BELMONT AVE Charlottesville,-78.4801389,38.02581380000001
2020-00015297,CPD,DC-3,2020-06-05T13:24:56Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2020-00030515,ACPD,S8-19,2020-06-06T11:11:58Z,Shots Fired,5700 STEEP RDG,VERIFIED,Albemarle County,Shots Fired,5700 STEEP RDG Albemarle County,-78.6965199,38.1556165
2020-00030920,ACPD,S4-12,2020-06-08T20:30:00Z,Shots Fired,KILCHATTAN LN,VERIFIED,Albemarle County,Shots Fired,KILCHATTAN LN Albemarle County,-78.3817321,38.0017112
2020-00030921,ACPD,S5-13,2020-06-08T20:37:35Z,Shots Fired,CARTERS MOUNTAIN RD,VERIFIED,Albemarle County,Shots Fired,CARTERS MOUNTAIN RD Albemarle County,-78.5079702,37.9353558
2020-00015802,CPD,CASE,2020-06-09T16:20:36Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2020-00031486,ACPD,CASE,2020-06-12T00:17:26Z,13A,300 TIMBERLAND LN,CASE,Albemarle County,Aggravated Assault,300 TIMBERLAND LN Albemarle County,-78.51976719999999,38.0090168
2020-00016857,CPD,DS-5,2020-06-19T22:08:07Z,Shots Fired,ORANGEDALE AVE,VERIFIED,Charlottesville,Shots Fired,ORANGEDALE AVE Charlottesville,-78.4971676,38.0223888
2020-00033315,ACPD,S4-12,2020-06-23T14:09:51Z,Shots Fired,MECHUNK RD,VERIFIED,Albemarle County,Shots Fired,MECHUNK RD Albemarle County,-78.3313382,37.994476
2020-00017508,CPD,DN-7,2020-06-25T07:41:41Z,Shots Fired,1200 ROSSER AVE,VERIFIED,Charlottesville,Shots Fired,1200 ROSSER AVE Charlottesville,-78.4941848,38.0400082
2020-00017563,CPD,CASE,2020-06-25T17:37:17Z,13A,1700 HYDRAULIC RD,CASE,Charlottesville,Aggravated Assault,1700 HYDRAULIC RD Charlottesville,-78.4887056,38.0588756
2020-00033742,ACPD,S4-12,2020-06-25T18:05:48Z,Shots Fired,1500 BLACK CAT RD,VERIFIED,Albemarle County,Shots Fired,1500 BLACK CAT RD Albemarle County,-78.338132,37.9960336
2020-00034013,ACPD,S1-6,2020-06-27T00:09:31Z,Shots Fired,2200 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2020-00017871,CPD,DS-1,2020-06-28T09:01:18Z,Shots Fired,AVON ST,VERIFIED,Charlottesville,Shots Fired,AVON ST Charlottesville,-78.4808344,38.0220353
2020-00034258,ACPD,S8-19,2020-06-28T13:11:46Z,Shots Fired,4100 SLAM GATE RD,VERIFIED,Albemarle County,Shots Fired,4100 SLAM GATE RD Albemarle County,-78.68957689999999,38.1493692
2020-00034503,ACPD,S2-1,2020-06-29T21:36:14Z,Shots Fired,800 MALLSIDE FOREST CT,VERIFIED,Albemarle County,Shots Fired,800 MALLSIDE FOREST CT Albemarle County,-78.4684583,38.07985
2020-00035117,ACPD,S8-18,2020-07-02T19:44:35Z,Shots Fired,1600 PUGHS STORE RD,VERIFIED,Albemarle County,Shots Fired,1600 PUGHS STORE RD Albemarle County,-78.7854618,37.9929536
2020-00018439,CPD,DS-1,2020-07-03T16:59:35Z,Shots Fired,1400 MONTICELLO RD,VERIFIED,Charlottesville,Shots Fired,1400 MONTICELLO RD Charlottesville,-78.47253239999999,38.01933710000001
2020-00035357,ACPD,CASE,2020-07-04T00:23:17Z,13A,200 SAPONI LN,CASE,Albemarle County,Aggravated Assault,200 SAPONI LN Albemarle County,-78.51327289999999,38.063192
2020-00018754,CPD,DS-5,2020-07-06T14:24:31Z,Shots Fired,600 7 1/2 ST,VERIFIED,Charlottesville,Shots Fired,600 7 1/2 ST Charlottesville,-78.4937865,38.0266977
2020-00035959,ACPD,S4-12,2020-07-07T20:28:13Z,Shots Fired,1300 PLEASANT VALLEY LN,VERIFIED,Albemarle County,Shots Fired,1300 PLEASANT VALLEY LN Albemarle County,-78.3570537,37.9987781
2020-00019039,CPD,DN-19,2020-07-09T09:05:46Z,Shots Fired,2200 ANGUS RD,VERIFIED,Charlottesville,Shots Fired,2200 ANGUS RD Charlottesville,-78.4971539,38.0609884
2020-00036938,ACPD,S2-1,2020-07-13T10:35:57Z,Shots Fired,900 PRESCELLY PL,VERIFIED,Albemarle County,Shots Fired,900 PRESCELLY PL Albemarle County,-78.4667647,38.0508729
2020-00036977,ACPD,S3-20,2020-07-13T16:44:09Z,Shots Fired,2800 EARLYSVILLE RD,VERIFIED,Albemarle County,Shots Fired,2800 EARLYSVILLE RD Albemarle County,-78.4694813,38.1189887
2020-00037130,ACPD,S6-4,2020-07-14T14:00:54Z,Shots Fired,1700 TREETOP DR,VERIFIED,Albemarle County,Shots Fired,1700 TREETOP DR Albemarle County,-78.5255725,38.0089876
2020-00019575,CPD,DS-3,2020-07-14T22:46:51Z,Shots Fired,RIDGE ST,VERIFIED,Charlottesville,Shots Fired,RIDGE ST Charlottesville,-78.4898782,38.0244314
2020-00019695,CPD,DS-5,2020-07-15T23:44:52Z,Shots Fired,PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,PROSPECT AVE Charlottesville,-78.4959054,38.0226236
2020-00037846,ACPD,S1-6,2020-07-19T00:08:28Z,Shots Fired,2300 PEYTON DR,VERIFIED,Albemarle County,Shots Fired,2300 PEYTON DR Albemarle County,-78.4934019,38.0729196
2020-00020506,CPD,DS-1,2020-07-24T01:38:16Z,Shots Fired,900 BELMONT AVE,VERIFIED,Charlottesville,Shots Fired,900 BELMONT AVE Charlottesville,-78.4753683,38.0234415
2020-00020514,CPD,DN-1,2020-07-24T05:08:33Z,Shots Fired,10TH ST,VERIFIED,Charlottesville,Shots Fired,10TH ST Charlottesville,-78.4968608,38.0279517
2020-00020673,CPD,DS-3,2020-07-25T19:24:19Z,Shots Fired,ELLIOTT AVE,VERIFIED,Charlottesville,Shots Fired,ELLIOTT AVE Charlottesville,-78.4813886,38.0212784
2020-00038982,ACPD,S6-4,2020-07-26T02:29:45Z,Shots Fired,UPPER BROOK CT,VERIFIED,Albemarle County,Shots Fired,UPPER BROOK CT Albemarle County,-78.5241663,38.0060122
2020-00020924,CPD,DN-3,2020-07-28T02:44:18Z,Shots Fired,BOOKER ST,VERIFIED,Charlottesville,Shots Fired,BOOKER ST Charlottesville,-78.4886874,38.0383067
2020-00021005,CPD,DC-3,2020-07-28T21:41:08Z,Shots Fired,HARDY DR,VERIFIED,Charlottesville,Shots Fired,HARDY DR Charlottesville,-78.4915826,38.0335602
2020-00039395,ACPD,S1-6,2020-07-28T23:44:51Z,Shots Fired,INGLEWOOD DR,VERIFIED,Albemarle County,Shots Fired,INGLEWOOD DR Albemarle County,-78.4973318,38.0645583
2020-00039408,ACPD,CASE,2020-07-29T01:25:45Z,09A,300 TIMBERLAND LN,CASE,Albemarle County,Murder,300 TIMBERLAND LN Albemarle County,-78.51976719999999,38.0090168
2020-00021183,CPD,DS-2,2020-07-30T15:07:09Z,Shots Fired,MONTICELLO AVE,VERIFIED,Charlottesville,Shots Fired,MONTICELLO AVE Charlottesville,-78.4757521,38.0174618
2020-00040532,ACPD,S5-14,2020-08-05T16:29:49Z,Shots Fired,5500 GREEN CREEK RD,VERIFIED,Albemarle County,Shots Fired,5500 GREEN CREEK RD Albemarle County,-78.69181859999999,37.822268
2020-00041144,ACPD,S5-13,2020-08-09T20:01:07Z,Shots Fired,5500 JEFFERSON MILL RD,VERIFIED,Albemarle County,Shots Fired,5500 JEFFERSON MILL RD Albemarle County,-78.4455898,37.8840696
2020-00041382,ACPD,CASE,2020-08-11T11:02:31Z,13A,3800 GREEN CREEK RD,CASE,Albemarle County,Aggravated Assault,3800 GREEN CREEK RD Albemarle County,-78.6353117,37.8657852
2020-00041429,ACPD,S3-8,2020-08-11T18:38:00Z,Shots Fired,1800 TINKERS COVE RD,VERIFIED,Albemarle County,Shots Fired,1800 TINKERS COVE RD Albemarle County,-78.43680309999999,38.1149213
2020-00022424,CPD,DS-3,2020-08-12T02:57:19Z,Shots Fired,700 6TH ST,VERIFIED,Charlottesville,Shots Fired,700 6TH ST Charlottesville,-78.48072189999999,38.0251055
2020-00023524,CPD,CASE,2020-08-22T03:03:54Z,13A,400 9TH ST,CASE,Charlottesville,Aggravated Assault,400 9TH ST Charlottesville,-78.4908087,38.0355709
2020-00043106,ACPD,S3-9,2020-08-22T12:47:47Z,Shots Fired,2200 FRAYS MILL RD,VERIFIED,Albemarle County,Shots Fired,2200 FRAYS MILL RD Albemarle County,-78.42356629999999,38.1883926
2020-00043621,ACPD,S6-4,2020-08-25T23:57:52Z,Shots Fired,300 TIMBERLAND LN,VERIFIED,Albemarle County,Shots Fired,300 TIMBERLAND LN Albemarle County,-78.51976719999999,38.0090168
2020-00044507,ACPD,S3-20,2020-08-31T19:30:51Z,Shots Fired,6600 MARKWOOD RD,VERIFIED,Albemarle County,Shots Fired,6600 MARKWOOD RD Albemarle County,-78.5449914,38.212509
2020-00045378,ACPD,S7-16,2020-09-05T17:23:43Z,Shots Fired,4000 IVY RD,VERIFIED,Albemarle County,Shots Fired,4000 IVY RD Albemarle County,-78.5873578,38.0554656
2020-00045593,ACPD,S5-13,2020-09-06T21:30:43Z,Shots Fired,1400 BRIERY CREEK RD,VERIFIED,Albemarle County,Shots Fired,1400 BRIERY CREEK RD Albemarle County,-78.45054619999999,37.855167
2020-00046753,ACPD,S1-6,2020-09-13T04:00:09Z,Shots Fired,300 GREENBRIER DR,VERIFIED,Albemarle County,Shots Fired,300 GREENBRIER DR Albemarle County,-78.49014249999999,38.0742595
2020-00046823,ACPD,S2-1,2020-09-13T22:05:03Z,Shots Fired,1600 RIO HILL DR,VERIFIED,Albemarle County,Shots Fired,1600 RIO HILL DR Albemarle County,-78.4695923,38.0802479
2020-00047286,ACPD,S7-5,2020-09-16T08:40:01Z,Shots Fired,2800 BARRACKS RD,VERIFIED,Albemarle County,Shots Fired,2800 BARRACKS RD Albemarle County,-78.517388,38.0653563
2020-00026110,CPD,DS-3,2020-09-18T00:31:36Z,Shots Fired,900 1ST ST,VERIFIED,Charlottesville,Shots Fired,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2020-00047823,ACPD,S6-4,2020-09-19T00:55:50Z,Shots Fired,TIMBERLAND LN,VERIFIED,Albemarle County,Shots Fired,TIMBERLAND LN Albemarle County,-78.52061,38.0091247
2020-00048010,ACPD,S3-20,2020-09-20T11:58:28Z,Shots Fired,1000 SUSAN DR,VERIFIED,Albemarle County,Shots Fired,1000 SUSAN DR Albemarle County,-78.4652066,38.1219169
2020-00048041,ACPD,S5-13,2020-09-20T18:23:16Z,Shots Fired,2200 SECRETARYS RD,VERIFIED,Albemarle County,Shots Fired,2200 SECRETARYS RD Albemarle County,-78.4701985,37.8980069
2020-00026460,CPD,CASE,2020-09-22T00:57:27Z,13A,700 NASSAU ST,CASE,Charlottesville,Aggravated Assault,700 NASSAU ST Charlottesville,-78.4669519,38.0192287
2020-00048522,ACPD,S7-16,2020-09-23T19:29:20Z,Shots Fired,4500 GARTH RD,VERIFIED,Albemarle County,Shots Fired,4500 GARTH RD Albemarle County,-78.6540673,38.1189931
2020-00026864,CPD,DS-3,2020-09-27T01:10:54Z,Shots Fired,BAILEY RD,VERIFIED,Charlottesville,Shots Fired,BAILEY RD Charlottesville,-78.4962581,38.0210988
2020-00026869,CPD,CASE,2020-09-27T03:18:33Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2020-00049659,ACPD,S8-17,2020-09-30T19:02:36Z,Shots Fired,5700 SUNRISE ACRES ST,VERIFIED,Albemarle County,Shots Fired,5700 SUNRISE ACRES ST Albemarle County,-78.69954050000001,38.084151
2020-00027348,CPD,DS-3,2020-10-02T00:44:04Z,Shots Fired,900 1ST ST,VERIFIED,Charlottesville,Shots Fired,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2020-00050208,ACPD,CASE,2020-10-03T21:58:56Z,09A,2100 FOX HUNT DR,CASE,Albemarle County,Murder,2100 FOX HUNT DR Albemarle County,-78.349739,37.9778019
2020-00027510,CPD,DN-4,2020-10-03T23:36:23Z,Shots Fired,500 1ST ST,VERIFIED,Charlottesville,Shots Fired,500 1ST ST Charlottesville,-78.48563829999999,38.0231995
2020-00027989,CPD,DS-1,2020-10-08T23:35:25Z,Shots Fired,600 BLENHEIM AVE,VERIFIED,Charlottesville,Shots Fired,600 BLENHEIM AVE Charlottesville,-78.4818104,38.0233103
2020-00028075,CPD,DS-1,2020-10-09T21:26:00Z,Shots Fired,700 FRANKLIN ST,VERIFIED,Charlottesville,Shots Fired,700 FRANKLIN ST Charlottesville,-78.46549809999999,38.019542
2020-00028481,CPD,DN-11,2020-10-14T14:42:09Z,Shots Fired,500 CAROLINE AVE,VERIFIED,Charlottesville,Shots Fired,500 CAROLINE AVE Charlottesville,-78.4638792,38.0297724
2020-00051900,ACPD,CASE,2020-10-15T06:49:08Z,09A,6700 ROCKFISH GAP TPKE,CASE,Albemarle County,Murder,6700 ROCKFISH GAP TPKE Albemarle County,-78.7325187,38.0415756
2020-00028713,CPD,CASE,2020-10-16T19:32:32Z,13A,100 RIDGE ST,CASE,Charlottesville,Aggravated Assault,100 RIDGE ST Charlottesville,-78.48475359999999,38.0298408
2020-00052218,ACPD,CASE,2020-10-16T21:54:56Z,09A,1500 PUTT PUTT PL,CASE,Albemarle County,Murder,1500 PUTT PUTT PL Albemarle County,-78.4707146,38.0777416
2020-00052249,ACPD,S4-2,2020-10-17T01:55:17Z,Shots Fired,WHITTINGTON DR,VERIFIED,Albemarle County,Shots Fired,WHITTINGTON DR Albemarle County,-78.4375597,38.0322228
2020-00052369,ACPD,S4-2,2020-10-18T00:03:44Z,Shots Fired,2100 NORTH PANTOPS DR,VERIFIED,Albemarle County,Shots Fired,2100 NORTH PANTOPS DR Albemarle County,-78.4271363,38.0334914
2020-00052434,ACPD,S7-16,2020-10-18T13:05:49Z,Shots Fired,DECCA LN,VERIFIED,Albemarle County,Shots Fired,DECCA LN Albemarle County,-78.5997192,38.0909611
2020-00053284,ACPD,S5-13,2020-10-23T13:04:13Z,Shots Fired,2500 SCOTTSVILLE RD,VERIFIED,Albemarle County,Shots Fired,2500 SCOTTSVILLE RD Albemarle County,-78.51673579999999,37.9677519
2020-00029376,CPD,DN-19,2020-10-24T00:01:50Z,Shots Fired,2200 SHELBY DR,VERIFIED,Charlottesville,Shots Fired,2200 SHELBY DR Charlottesville,-78.49417369999999,38.0625346
2020-00055075,ACPD,S3-20,2020-11-03T14:55:30Z,Shots Fired,400 WILLWOOD DR,VERIFIED,Albemarle County,Shots Fired,400 WILLWOOD DR Albemarle County,-78.5135841,38.139169
2020-00030473,CPD,CASE,2020-11-05T21:37:21Z,09A,900 1ST ST,CASE,Charlottesville,Murder,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2020-00056159,ACPD,S6-15,2020-11-10T09:58:34Z,Shots Fired,3900 RED HILL SCHOOL RD,VERIFIED,Albemarle County,Shots Fired,3900 RED HILL SCHOOL RD Albemarle County,-78.6371532,37.9654157
2020-00031019,CPD,DS-1,2020-11-12T19:46:07Z,Shots Fired,1300 HAMPTON ST,VERIFIED,Charlottesville,Shots Fired,1300 HAMPTON ST Charlottesville,-78.47110889999999,38.0207179
2020-00031196,CPD,DS-2,2020-11-14T20:05:03Z,Shots Fired,MONTICELLO AVE,VERIFIED,Charlottesville,Shots Fired,MONTICELLO AVE Charlottesville,-78.4757521,38.0174618
2020-00031204,CPD,CASE,2020-11-14T21:11:32Z,09A,ORANGEDALE AVE,CASE,Charlottesville,Murder,ORANGEDALE AVE Charlottesville,-78.4971676,38.0223888
2020-00056961,ACPD,S3-8,2020-11-14T21:47:03Z,Shots Fired,MINE CREEK TRL,VERIFIED,Albemarle County,Shots Fired,MINE CREEK TRL Albemarle County,-78.4274043,38.1132225
2020-00058020,ACPD,S5-13,2020-11-21T14:16:29Z,Shots Fired,1800 ED JONES RD,VERIFIED,Albemarle County,Shots Fired,1800 ED JONES RD Albemarle County,-78.4367151,37.9098622
2020-00058064,ACPD,CASE,2020-11-21T21:34:07Z,09A,5400 WINGSPREAD LN,CASE,Albemarle County,Murder,5400 WINGSPREAD LN Albemarle County,-78.68806190000001,37.9177807
2020-00058305,ACPD,S5-14,2020-11-23T13:19:15Z,Shots Fired,3300 EDGEMONT FARM,VERIFIED,Albemarle County,Shots Fired,3300 EDGEMONT FARM Albemarle County,-78.61444589999999,37.9032396
2020-00032380,CPD,DS-3,2020-11-28T04:42:33Z,Shots Fired,1ST ST,VERIFIED,Charlottesville,Shots Fired,1ST ST Charlottesville,-78.4866609,38.0215864
2020-00032382,CPD,CASE,2020-11-28T05:03:31Z,09A,700 MCINTIRE RD,CASE,Charlottesville,Murder,700 MCINTIRE RD Charlottesville,-78.4777684,38.0385001
2020-00032428,CPD,DN-1,2020-11-28T20:08:16Z,Shots Fired,10TH ST,VERIFIED,Charlottesville,Shots Fired,10TH ST Charlottesville,-78.4968608,38.0279517
2020-00032432,CPD,DN-2,2020-11-28T20:21:57Z,Shots Fired,12TH ST,VERIFIED,Charlottesville,Shots Fired,12TH ST Charlottesville,-78.4691479,38.0285521
2020-00032647,CPD,DS-5,2020-11-30T22:09:33Z,Shots Fired,PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,PROSPECT AVE Charlottesville,-78.4959054,38.0226236
2020-00033121,CPD,DN-18,2020-12-04T23:00:32Z,Shots Fired,MICHIE DR,VERIFIED,Charlottesville,Shots Fired,MICHIE DR Charlottesville,-78.4872238,38.0595489
2020-00060333,ACPD,S5-14,2020-12-05T12:41:28Z,Shots Fired,5300 ALBERENE RD,VERIFIED,Albemarle County,Shots Fired,5300 ALBERENE RD Albemarle County,-78.6184529,37.8838154
2020-00033256,CPD,CASE,2020-12-06T01:18:05Z,13A,500 RIDGE ST,CASE,Charlottesville,Aggravated Assault,500 RIDGE ST Charlottesville,-78.48670349999999,38.0271065
2020-00033522,CPD,CASE,2020-12-08T10:27:35Z,13A,7 1/2 ST,CASE,Charlottesville,Aggravated Assault,7 1/2 ST Charlottesville,-78.493153,38.0274684
2020-00061618,ACPD,S3-9,2020-12-12T20:55:33Z,Shots Fired,SEMINOLE TRL,VERIFIED,Albemarle County,Shots Fired,SEMINOLE TRL Albemarle County,-78.4117367,38.1687471
2020-00034037,CPD,DS-2,2020-12-12T22:33:55Z,Shots Fired,400 GARRETT ST,VERIFIED,Charlottesville,Shots Fired,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2020-00062218,ACPD,S8-17,2020-12-16T03:15:18Z,Shots Fired,900 CROZET AVE,VERIFIED,Albemarle County,Shots Fired,900 CROZET AVE Albemarle County,-78.70036139999999,38.0607733
2020-00062433,ACPD,S6-4,2020-12-17T11:39:49Z,Shots Fired,900 UPPER BROOK CT,VERIFIED,Albemarle County,Shots Fired,900 UPPER BROOK CT Albemarle County,-78.5250477,38.0056984
2020-00062513,ACPD,S6-4,2020-12-17T23:16:15Z,Shots Fired,200 WAHOO WAY,VERIFIED,Albemarle County,Shots Fired,200 WAHOO WAY Albemarle County,-78.5174767,38.007968
2020-00063023,ACPD,S4-12,2020-12-20T16:48:17Z,Shots Fired,SNOW HILL LN,VERIFIED,Albemarle County,Shots Fired,SNOW HILL LN Albemarle County,-78.3588454,37.9595184
