school_year,division,school,subgroup,n_students,percent,school_level,school_short
2017-2018,CCS,Burnley-Moran Elementary,Hispanic,3,7.5,Elementary,Burnley-Moran
2017-2018,CCS,Burnley-Moran Elementary,White,9,4.5,Elementary,Burnley-Moran
2017-2018,CCS,Burnley-Moran Elementary,Multiple Races,3,10.3,Elementary,Burnley-Moran
2017-2018,CCS,Burnley-Moran Elementary,Students with Disabilities,3,7,Elementary,Burnley-Moran
2017-2018,CCS,Burnley-Moran Elementary,Economically Disadvantaged,17,10.1,Elementary,Burnley-Moran
2017-2018,CCS,Burnley-Moran Elementary,English Learners,2,5.1,Elementary,Burnley-Moran
2017-2018,CCS,Burnley-Moran Elementary,Homeless,0,0,Elementary,Burnley-Moran
2017-2018,CCS,Burnley-Moran Elementary,Military Connected,0,0,Elementary,Burnley-Moran
2017-2018,CCS,Burnley-Moran Elementary,Foster Care,0,0,Elementary,Burnley-Moran
2017-2018,CCS,Charlottesville High,All Students,76,6.7,High,CHS
2017-2018,CCS,Charlottesville High,Asian,5,6.2,High,CHS
2017-2018,CCS,Charlottesville High,Black,31,8.9,High,CHS
2017-2018,CCS,Charlottesville High,Hispanic,10,7.8,High,CHS
2017-2018,CCS,Charlottesville High,Native Hawaiian,0,0,High,CHS
2017-2018,CCS,Charlottesville High,White,23,4.4,High,CHS
2017-2018,CCS,Charlottesville High,Multiple Races,6,10.9,High,CHS
2017-2018,CCS,Charlottesville High,Students with Disabilities,15,10.1,High,CHS
2017-2018,CCS,Charlottesville High,Economically Disadvantaged,51,10.5,High,CHS
2017-2018,CCS,Charlottesville High,English Learners,11,8,High,CHS
2017-2018,CCS,Charlottesville High,Homeless,4,26.7,High,CHS
2017-2018,CCS,Charlottesville High,Military Connected,0,0,High,CHS
2017-2018,CCS,Charlottesville High,Foster Care,0,0,High,CHS
2017-2018,CCS,Clark Elementary,All Students,20,7.2,Elementary,Clark
2017-2018,CCS,Clark Elementary,Asian,1,5.6,Elementary,Clark
2017-2018,CCS,Clark Elementary,Black,11,8.8,Elementary,Clark
2017-2018,CCS,Clark Elementary,Hispanic,1,2.4,Elementary,Clark
2017-2018,CCS,Clark Elementary,White,7,9.3,Elementary,Clark
2017-2018,CCS,Clark Elementary,Multiple Races,0,0,Elementary,Clark
2017-2018,CCS,Clark Elementary,Students with Disabilities,4,6.9,Elementary,Clark
2017-2018,CCS,Clark Elementary,Economically Disadvantaged,13,8.3,Elementary,Clark
2017-2018,CCS,Clark Elementary,English Learners,3,5.1,Elementary,Clark
2017-2018,CCS,Clark Elementary,Homeless,0,0,Elementary,Clark
2017-2018,CCS,Clark Elementary,Military Connected,0,0,Elementary,Clark
2017-2018,CCS,Clark Elementary,Foster Care,0,0,Elementary,Clark
2017-2018,CCS,Greenbrier Elementary,All Students,17,4.6,Elementary,Greenbrier
2017-2018,CCS,Greenbrier Elementary,Asian,3,5,Elementary,Greenbrier
2017-2018,CCS,Greenbrier Elementary,Black,5,8.8,Elementary,Greenbrier
2017-2018,CCS,Greenbrier Elementary,Hispanic,3,6,Elementary,Greenbrier
2017-2018,CCS,Greenbrier Elementary,White,5,2.8,Elementary,Greenbrier
2017-2018,CCS,Greenbrier Elementary,Multiple Races,1,3.4,Elementary,Greenbrier
2017-2018,CCS,Greenbrier Elementary,Students with Disabilities,2,9.5,Elementary,Greenbrier
2017-2018,CCS,Greenbrier Elementary,Economically Disadvantaged,13,8.2,Elementary,Greenbrier
2017-2018,CCS,Greenbrier Elementary,English Learners,8,8.4,Elementary,Greenbrier
2017-2018,CCS,Greenbrier Elementary,Homeless,0,0,Elementary,Greenbrier
2017-2018,CCS,Greenbrier Elementary,Military Connected,0,0,Elementary,Greenbrier
2017-2018,CCS,Jackson-Via Elementary,All Students,32,9.5,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,American Indian,0,0,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,Asian,0,0,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,Black,18,11,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,Hispanic,4,6.9,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,White,5,6.3,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,Multiple Races,4,14.3,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,Students with Disabilities,11,20.4,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,Economically Disadvantaged,19,13.1,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,English Learners,2,3.8,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,Homeless,0,0,Elementary,Jackson-Via
2017-2018,CCS,Jackson-Via Elementary,Military Connected,0,0,Elementary,Jackson-Via
2017-2018,CCS,Johnson Elementary,All Students,15,4.8,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,American Indian,0,0,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,Asian,0,0,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,Black,12,8.7,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,Hispanic,2,5.4,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,White,1,1,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,Multiple Races,0,0,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,Students with Disabilities,1,2.4,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,Economically Disadvantaged,12,7.9,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,English Learners,1,2,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,Homeless,0,0,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,Military Connected,0,0,Elementary,Johnson
2017-2018,CCS,Johnson Elementary,Foster Care,0,0,Elementary,Johnson
2017-2018,CCS,Venable Elementary,All Students,12,3.8,Elementary,Venable
2017-2018,CCS,Venable Elementary,Asian,1,4.2,Elementary,Venable
2017-2018,CCS,Venable Elementary,Black,4,6.3,Elementary,Venable
2017-2018,CCS,Venable Elementary,Hispanic,0,0,Elementary,Venable
2017-2018,CCS,Venable Elementary,White,6,3,Elementary,Venable
2017-2018,CCS,Venable Elementary,Multiple Races,1,5.6,Elementary,Venable
2017-2018,CCS,Venable Elementary,Students with Disabilities,1,3.4,Elementary,Venable
2017-2018,CCS,Venable Elementary,Economically Disadvantaged,7,7,Elementary,Venable
2017-2018,CCS,Venable Elementary,English Learners,1,5,Elementary,Venable
2017-2018,CCS,Venable Elementary,Homeless,0,0,Elementary,Venable
2017-2018,CCS,Venable Elementary,Military Connected,0,0,Elementary,Venable
2017-2018,CCS,Venable Elementary,Foster Care,0,0,Elementary,Venable
2017-2018,CCS,Walker Upper Elementary,All Students,34,5.6,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,American Indian,0,0,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,Asian,0,0,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,Black,18,8,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,Hispanic,3,3.5,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,White,11,4.9,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,Multiple Races,2,5.4,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,Students with Disabilities,8,8,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,Economically Disadvantaged,27,7.6,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,English Learners,2,1.8,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,Homeless,2,16.7,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,Military Connected,0,0,Middle,Walker
2017-2018,CCS,Walker Upper Elementary,Foster Care,0,0,Middle,Walker
2018-2019,ACPS,Agnor-Hurt Elementary,All Students,42,9.4,Elementary,Agnor-Hurt
2018-2019,ACPS,Agnor-Hurt Elementary,Asian,4,22.2,Elementary,Agnor-Hurt
2018-2019,ACPS,Agnor-Hurt Elementary,Black,9,8.9,Elementary,Agnor-Hurt
2018-2019,ACPS,Agnor-Hurt Elementary,Hispanic,12,11.3,Elementary,Agnor-Hurt
2018-2019,ACPS,Agnor-Hurt Elementary,White,12,7.1,Elementary,Agnor-Hurt
2018-2019,ACPS,Agnor-Hurt Elementary,Multiple Races,5,9.6,Elementary,Agnor-Hurt
2018-2019,ACPS,Agnor-Hurt Elementary,Students with Disabilities,10,16.1,Elementary,Agnor-Hurt
2018-2019,ACPS,Agnor-Hurt Elementary,Economically Disadvantaged,28,11.8,Elementary,Agnor-Hurt
2018-2019,ACPS,Agnor-Hurt Elementary,English Learners,12,12.1,Elementary,Agnor-Hurt
2018-2019,ACPS,Agnor-Hurt Elementary,Homeless,3,30,Elementary,Agnor-Hurt
2018-2019,ACPS,Agnor-Hurt Elementary,Military Connected,0,0,Elementary,Agnor-Hurt
2018-2019,ACPS,Albemarle County Community Public Charter,All Students,3,6.7,Middle,ACCP
2018-2019,ACPS,Albemarle County Community Public Charter,Black,0,0,Middle,ACCP
2018-2019,ACPS,Albemarle County Community Public Charter,Hispanic,0,0,Middle,ACCP
2018-2019,ACPS,Albemarle County Community Public Charter,White,1,2.8,Middle,ACCP
2018-2019,ACPS,Albemarle County Community Public Charter,Multiple Races,0,0,Middle,ACCP
2018-2019,ACPS,Albemarle County Community Public Charter,Students with Disabilities,0,0,Middle,ACCP
2018-2019,ACPS,Albemarle County Community Public Charter,Economically Disadvantaged,1,9.1,Middle,ACCP
2018-2019,ACPS,Albemarle County Community Public Charter,English Learners,0,0,Middle,ACCP
2018-2019,ACPS,Albemarle County Community Public Charter,Foster Care,0,0,Middle,ACCP
2018-2019,ACPS,Albemarle High,All Students,167,8.8,High,AHS
2018-2019,ACPS,Albemarle High,American Indian,0,0,High,AHS
2018-2019,ACPS,Albemarle High,Asian,10,6.2,High,AHS
2018-2019,ACPS,Albemarle High,Black,36,12.8,High,AHS
2018-2019,ACPS,Albemarle High,Hispanic,40,14.7,High,AHS
2018-2019,ACPS,Albemarle High,White,74,6.9,High,AHS
2018-2019,ACPS,Albemarle High,Multiple Races,7,6.7,High,AHS
2018-2019,ACPS,Albemarle High,Students with Disabilities,31,12.6,High,AHS
2018-2019,ACPS,Albemarle High,Economically Disadvantaged,82,14.4,High,AHS
2018-2019,ACPS,Albemarle High,English Learners,36,18,High,AHS
2018-2019,ACPS,Albemarle High,Homeless,10,31.3,High,AHS
2018-2019,ACPS,Albemarle High,Military Connected,2,5,High,AHS
2018-2019,ACPS,Albemarle High,Foster Care,0,0,High,AHS
2018-2019,ACPS,Baker-Butler Elem,All Students,57,9,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,Asian,3,8.3,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,Black,4,7.5,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,Hispanic,11,12.5,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,White,37,9.2,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,Multiple Races,2,3.9,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,Students with Disabilities,10,13.2,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,Economically Disadvantaged,24,14.5,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,English Learners,6,9.5,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,Homeless,0,0,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,Military Connected,3,7.9,Elementary,Baker-Butler
2018-2019,ACPS,Baker-Butler Elem,Foster Care,0,0,Elementary,Baker-Butler
2018-2019,ACPS,Broadus Wood Elementary,All Students,15,5.8,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,American Indian,0,0,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,Asian,0,0,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,Black,0,0,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,Hispanic,2,15.4,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,White,11,4.8,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,Multiple Races,2,14.3,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,Students with Disabilities,7,28,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,Economically Disadvantaged,9,19.6,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,English Learners,0,0,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,Homeless,0,0,Elementary,Broadus Wood
2018-2019,ACPS,Broadus Wood Elementary,Military Connected,0,0,Elementary,Broadus Wood
2018-2019,ACPS,Brownsville Elementary,All Students,41,5,Elementary,Brownsville
2018-2019,ACPS,Brownsville Elementary,Asian,1,3,Elementary,Brownsville
2018-2019,ACPS,Brownsville Elementary,Black,3,14.3,Elementary,Brownsville
2018-2019,ACPS,Brownsville Elementary,Hispanic,3,7,Elementary,Brownsville
2018-2019,ACPS,Brownsville Elementary,White,33,4.9,Elementary,Brownsville
2018-2019,ACPS,Brownsville Elementary,Multiple Races,1,2.1,Elementary,Brownsville
2018-2019,ACPS,Brownsville Elementary,Students with Disabilities,5,7.2,Elementary,Brownsville
2018-2019,ACPS,Brownsville Elementary,Economically Disadvantaged,20,20.8,Elementary,Brownsville
2018-2019,ACPS,Brownsville Elementary,English Learners,0,0,Elementary,Brownsville
2018-2019,ACPS,Brownsville Elementary,Homeless,0,0,Elementary,Brownsville
2018-2019,ACPS,Brownsville Elementary,Military Connected,1,3.1,Elementary,Brownsville
2018-2019,ACPS,Crozet Elementary,All Students,33,9.2,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,Asian,0,0,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,Black,0,0,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,Hispanic,5,23.8,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,Native Hawaiian,0,0,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,White,24,7.9,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,Multiple Races,2,11.8,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,Students with Disabilities,9,23.7,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,Economically Disadvantaged,21,23.1,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,English Learners,1,10,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,Military Connected,0,0,Elementary,Crozet
2018-2019,ACPS,Crozet Elementary,Foster Care,0,0,Elementary,Crozet
2018-2019,ACPS,Hollymead Elementary,All Students,9,2.1,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,American Indian,0,0,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,Asian,1,1.2,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,Black,0,0,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,Hispanic,0,0,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,White,8,3.1,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,Multiple Races,0,0,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,Students with Disabilities,2,3.4,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,Economically Disadvantaged,1,2,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,English Learners,0,0,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,Military Connected,1,2.2,Elementary,Hollymead
2018-2019,ACPS,Hollymead Elementary,Foster Care,0,0,Elementary,Hollymead
2018-2019,ACPS,Jack Jouett Middle,All Students,91,14.7,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,American Indian,0,0,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,Asian,3,9.7,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,Black,28,19.9,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,Hispanic,21,15.3,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,Native Hawaiian,0,0,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,White,28,10.7,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,Multiple Races,9,20,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,Students with Disabilities,16,21.6,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,Economically Disadvantaged,74,21.6,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,English Learners,22,14.9,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,Homeless,12,57.1,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,Military Connected,2,20,Middle,Journey
2018-2019,ACPS,Jack Jouett Middle,Foster Care,0,0,Middle,Journey
2018-2019,ACPS,Jackson P. Burley Middle,All Students,65,11.1,Middle,Burley
2018-2019,ACPS,Jackson P. Burley Middle,Asian,1,3.7,Middle,Burley
2018-2019,ACPS,Jackson P. Burley Middle,Black,10,10.1,Middle,Burley
2018-2019,ACPS,Jackson P. Burley Middle,Hispanic,17,14.4,Middle,Burley
2018-2019,ACPS,Jackson P. Burley Middle,White,32,10.7,Middle,Burley
2018-2019,ACPS,Jackson P. Burley Middle,Multiple Races,5,12.2,Middle,Burley
2018-2019,ACPS,Jackson P. Burley Middle,Students with Disabilities,17,21.3,Middle,Burley
2018-2019,ACPS,Jackson P. Burley Middle,Economically Disadvantaged,48,19.8,Middle,Burley
2018-2019,ACPS,Jackson P. Burley Middle,English Learners,13,13.5,Middle,Burley
2018-2019,ACPS,Jackson P. Burley Middle,Homeless,5,41.7,Middle,Burley
2018-2019,ACPS,Jackson P. Burley Middle,Military Connected,0,0,Middle,Burley
2018-2019,ACPS,Joseph T. Henley Middle,All Students,82,9.2,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,American Indian,0,0,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,Asian,2,5,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,Black,0,0,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,Hispanic,3,6.5,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,Native Hawaiian,0,0,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,White,73,9.6,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,Multiple Races,4,14.8,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,Students with Disabilities,30,31.3,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,Economically Disadvantaged,37,29.8,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,English Learners,0,0,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,Homeless,0,0,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,Military Connected,2,11.8,Middle,Henley
2018-2019,ACPS,Joseph T. Henley Middle,Foster Care,0,0,Middle,Henley
2018-2019,ACPS,Leslie H. Walton Middle,All Students,48,13.2,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,Asian,0,0,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,Black,1,3,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,Hispanic,4,12.5,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,Native Hawaiian,0,0,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,White,41,15.1,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,Multiple Races,2,11.1,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,Students with Disabilities,10,18.5,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,Economically Disadvantaged,34,23.8,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,English Learners,2,11.8,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,Homeless,0,0,Middle,Walton
2018-2019,ACPS,Leslie H. Walton Middle,Military Connected,0,0,Middle,Walton
2018-2019,ACPS,Mary Carr Greer Elementary,All Students,56,10.5,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,Asian,6,11.3,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,Black,19,11.9,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,Hispanic,18,12.6,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,Native Hawaiian,0,0,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,White,10,7.1,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,Multiple Races,3,9.1,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,Students with Disabilities,7,8.1,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,Economically Disadvantaged,52,13.5,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,English Learners,25,13.3,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,Homeless,12,30,Elementary,Greer
2018-2019,ACPS,Mary Carr Greer Elementary,Military Connected,0,0,Elementary,Greer
2018-2019,ACPS,Meriwether Lewis Elementary,All Students,24,5.9,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,Asian,0,0,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,Black,0,0,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,Hispanic,0,0,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,Native Hawaiian,0,0,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,White,21,5.7,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,Multiple Races,0,0,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,Students with Disabilities,2,5.3,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,Economically Disadvantaged,5,14.3,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,English Learners,0,0,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,Homeless,0,0,Elementary,Meriwether Lewis
2018-2019,ACPS,Meriwether Lewis Elementary,Military Connected,0,0,Elementary,Meriwether Lewis
2018-2019,ACPS,Monticello High,All Students,134,12,High,MHS
2018-2019,ACPS,Monticello High,American Indian,0,0,High,MHS
2018-2019,ACPS,Monticello High,Asian,1,3.7,High,MHS
2018-2019,ACPS,Monticello High,Black,10,7.5,High,MHS
2018-2019,ACPS,Monticello High,Hispanic,24,15.1,High,MHS
2018-2019,ACPS,Monticello High,Native Hawaiian,0,0,High,MHS
2018-2019,ACPS,Monticello High,White,91,12.5,High,MHS
2018-2019,ACPS,Monticello High,Multiple Races,7,10.6,High,MHS
2018-2019,ACPS,Monticello High,Students with Disabilities,35,20.1,High,MHS
2018-2019,ACPS,Monticello High,Economically Disadvantaged,66,19.4,High,MHS
2018-2019,ACPS,Monticello High,English Learners,15,20.3,High,MHS
2018-2019,ACPS,Monticello High,Homeless,0,0,High,MHS
2018-2019,ACPS,Monticello High,Military Connected,0,0,High,MHS
2018-2019,ACPS,Monticello High,Foster Care,0,0,High,MHS
2018-2019,ACPS,Mortimer Y. Sutherland Middle,All Students,42,7.3,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,American Indian,0,0,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,Asian,0,0,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,Black,4,7,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,Hispanic,5,10.2,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,White,30,7.7,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,Multiple Races,3,11.1,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,Students with Disabilities,8,10.7,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,Economically Disadvantaged,15,13.6,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,English Learners,1,2.1,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,Homeless,0,0,Middle,Lakeside
2018-2019,ACPS,Mortimer Y. Sutherland Middle,Military Connected,1,3.4,Middle,Lakeside
2018-2019,ACPS,Murray High,All Students,23,28.8,High,Community Lab
2018-2019,ACPS,Murray High,Asian,0,0,High,Community Lab
2018-2019,ACPS,Murray High,Black,0,0,High,Community Lab
2018-2019,ACPS,Murray High,Hispanic,0,0,High,Community Lab
2018-2019,ACPS,Murray High,White,20,30.8,High,Community Lab
2018-2019,ACPS,Murray High,Multiple Races,0,0,High,Community Lab
2018-2019,ACPS,Murray High,Students with Disabilities,8,33.3,High,Community Lab
2018-2019,ACPS,Murray High,Economically Disadvantaged,9,39.1,High,Community Lab
2018-2019,ACPS,Murray High,Military Connected,0,0,High,Community Lab
2018-2019,ACPS,Murray High,Foster Care,0,0,High,Community Lab
2018-2019,ACPS,Paul H. Cale Elementary,All Students,51,8,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,American Indian,0,0,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,Asian,4,22.2,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,Black,3,6.5,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,Hispanic,24,11.9,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,White,14,4.5,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,Multiple Races,6,10.9,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,Students with Disabilities,7,7.3,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,Economically Disadvantaged,35,12.8,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,English Learners,19,11.9,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,Homeless,4,20,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,Military Connected,0,0,Elementary,Mountain View
2018-2019,ACPS,Paul H. Cale Elementary,Foster Care,0,0,Elementary,Mountain View
2018-2019,ACPS,Red Hill Elementary,All Students,23,12.8,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,American Indian,0,0,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,Black,2,14.3,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,Hispanic,2,8,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,White,16,12.6,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,Multiple Races,2,16.7,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,Students with Disabilities,8,23.5,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,Economically Disadvantaged,20,19.4,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,English Learners,0,0,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,Homeless,0,0,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,Military Connected,0,0,Elementary,Red Hill
2018-2019,ACPS,Red Hill Elementary,Foster Care,0,0,Elementary,Red Hill
2018-2019,ACPS,Scottsville Elementary,All Students,20,8.6,Elementary,Scottsville
2018-2019,ACPS,Scottsville Elementary,Black,1,5,Elementary,Scottsville
2018-2019,ACPS,Scottsville Elementary,Hispanic,1,6.3,Elementary,Scottsville
2018-2019,ACPS,Scottsville Elementary,White,17,9.3,Elementary,Scottsville
2018-2019,ACPS,Scottsville Elementary,Multiple Races,1,7.7,Elementary,Scottsville
2018-2019,ACPS,Scottsville Elementary,Students with Disabilities,6,14,Elementary,Scottsville
