type,county_code,license_name,business_name,premise_street,premise_city,premise_zip_code,business_type
8,177,"Superior Firing Solutions, Llc",No Business Name Provided,503 Persimmon Ln,Fredericksburg,22408,Residential
11,177,"Polaris Alpha Advanced Systems, Inc",Polaris Alpha Advanced Systems (Parsons Company),10300 Spotsylvania Ave #420,Fredericksburg,22408,Business
1,177,"Seargeant, Billy Michael",The Old Dominion Trading Co,4312 Mine Rd,Fredericksburg,224080000,Business
2,177,B & B Pawnbrokers Inc,No Business Name Provided,4420 Lafayette Blvd,Fredericksburg,224084237,Residential
1,33,D K Firearms Llc,No Business Name Provided,202 N Main Street,Bowling Green,22427,Residential
7,33,"Gm Industries, Llc",Gm Firearms Service/Gm F/A's,23197 Mt Cloud Rd,Bowling Green,22427,Business
1,133,"T C Luper And Company, Inc",Luper Auctions,15104 Northumberland Hwy,Burgess,22432,Business
6,133,Proofmark Corp,Proofmark,Hacks Neck Rd,Burgess,224320000,Business
1,133,"Mangano, Anthony John",Rappatomac Outfitters,73 Factory Lane,Callao,22435,Business
1,133,R W S Sport Shop Inc,No Business Name Provided,1434 Northumberland Hwy,Callao,22435,Residential
1,133,"Purcell, Walter Roy",Frontier Gunsmith,3325 Ridge Rd,Callao,22435,Business
6,133,Ridgeline Precision Rifles Llc,Ridgeline Precision ,2365 Ridge Rd,Callao,22435,Business
7,133,Gun Lab Llc,Gun Lab,36 1st Ave,Callao,22435,Business
7,133,"Brann, Mark Wesley",Crimson Cross Armory,668 John Deere Rd Ste A,Callao,22435,Business
7,133,Ridgeline Precision Rifles Llc,Ridgeline Precision,2365 Ridge Rd,Callao,22435,Business
1,193,"Fisher, Michael Geary",No Business Name Provided,3030 Rappahannock Rd,Colonial Beach,22443,Residential
1,193,Top Shot Llc,No Business Name Provided,111 Marshall Ave,Colonial Beach,22443,Residential
1,193,"Gouldman, Thomas Mundy",Oak Grove Gun Repair,1459 Layton Landing Rd,Colonial Beach,224430000,Business
7,159,Tanglewood Trading Llc,No Business Name Provided,1074 Historyland Hwy,Farnham,22460,Residential
1,159,"Cralle, Lagrange B Jr",Weapons By Lagrange,3611 Hales Pt Rd,Farnham,224600000,Business
1,133,"Olverson, Carlton Kirk",Olverson Automotive Services,4638 Jessie B Dupont Mem Hwy,Heathsville,22473,Business
7,133,"Christophers, Anthony Daniel",Nnf,5190 Jessie Dupont Memorial Hwy,Heathsville,22473,Business
1,103,"Chesterfield Armament & Art, Ltd",Chandler's,2 S Main Street #32,Kilmarnock,22482,Business
1,103,"Dawson, Timothy Alan",Dawson Excavating,491 Boys Camp Rd,Kilmarnock,22482,Business
1,103,Coan River Arms Corporation,No Business Name Provided,310 North Main St,Kilmarnock,22482,Residential
7,103,Daves Trading Company Llc,No Business Name Provided,50 East Church St,Kilmarnock,22482,Residential
1,99,Hot Brass Llc,Hot Brass Llc,5405 Kings Hwy,King George,22485,Business
1,99,"Walker, Jeffrey Lewis",Walker Custom Rifles/Wcr,12542 James Madison Parkway,King George,22485,Business
1,99,"Turner, Stewart Jason",Turner's Gun Shack,4341 Turkey Acres Rd,King George,22485,Business
1,99,Saturday Morning Westerns Llc,No Business Name Provided,13190 Ormond Way,King George,22485,Residential
1,99,"Wal-Mart Stores East, Lp",Walmart #5779,16375 Merchants Lane,King George,22485,Business
1,99,"Technology Management Group, Inc",Tmg,4485 Danube Dr Ste 18,King George,22485,Business
1,99,A & A Arsenal Llc,Big Dog Outfitters,11465 Ridge Road,King George,22485,Business
1,99,"Moore, Matthew Henry",Moore Armaments,1132 Oakland Drive,King George,22485,Business
1,99,Estes Auctioneers Llc,No Business Name Provided,9624 James Madison Parkway,King George,22485,Residential
7,99,The Verdugo - Munitions And Weapons Llc,The Verdugo,8092 Pinewood Lane,King George,22485,Business
7,99,First2fight Retrofit Llc,No Business Name Provided,4481 Turkey Acres Rd,King George,22485,Residential
7,99,Integrity Ordnance Llc,No Business Name Provided,6248 Carter Drive,King George,22485,Residential
7,99,Total Machine Llc,No Business Name Provided,11034 Bloomsbury Rd,King George,22485,Residential
7,99,"Lewis, Perrin Andrew",Genesis Firearms,7054 Kitchen Drive,King George,22485,Business
7,99,"Atm Industries, Llc",Rosiers Creek Guns,17370 Rosiers Creek Lane,King George,22485,Business
7,99,Genesis Firearms Llc,Genesis Firearms,4266 James Madison Parkway,King George,22485,Business
7,99,Emiro Enterprises Llc,"Emiro's Guns, Ammo & Tactical",4363 Caledon Rd,King George,22485,Business
7,99,Southland Armory Llc,Southland Armory,14363 Round Hill Rd,King George,22485,Business
7,99,Strategic Impact Llc,Si Llc,7254 Peppermill Rd,King George,22485,Business
7,99,"Salo, Frederick M Jr",Salo Tactical,9140 Mullen Rd,King George,22485,Business
7,99,Kendle Firearms Llc,No Business Name Provided,7244 Peppermill Rd,King George,22485,Residential
8,99,Southland Armory Llc,No Business Name Provided,14363 Round Hill Rd,King George,22485,Residential
1,99,"Gibson, Gerald A Iii",Gibson's Guns,8157 Weedonville Dr,King George,224850000,Business
1,137,"Wal-Mart Stores East, Lp",Walmart #5731,2533 Germanna Hy,Locust Grove,22508,Business
1,137,Carter Armory Llc,No Business Name Provided,31432 Zoar Rd,Locust Grove,22508,Residential
1,137,2a Ordnance Llc,No Business Name Provided,30486 Catharpin Rd,Locust Grove,22508,Residential
7,137,Qmf Wyatt Llc,Battlefield Firearms,5483 Germanna Hwy,Locust Grove,22508,Business
1,177,Third Virginian And Son Llc,No Business Name Provided,11805 Birchwood Court,Locust Grove,22508,Residential
6,177,Third Virginian And Son Llc,No Business Name Provided,11805 Birchwood Court,Locust Grove,22508,Residential
7,133,Night Stalker Precision Llc,No Business Name Provided,871 Bleak House Farm Ln,Lottsburg,22511,Residential
7,133,"Deadrise Firearms, Llc",Deadrise Firearms,1378 Bon Harbor Rd,Lottsburg,22511,Business
9,33,Aquila International Llc,No Business Name Provided,22384 Sparta Rd,Milford,22514,Residential
1,193,"Graves, Gary Francis",No Business Name Provided,79 Waterway Dr,Montross,22520,Residential
1,193,"Gerber, James Dale",No Business Name Provided,19695 Kings Hwy,Montross,22520,Residential
7,193,"O'gara Training And Services, Llc",No Business Name Provided,220  Industrial Park Dr,Montross,22520,Residential
9,193,O'gara Training And Services Llc,No Business Name Provided,220 Industrial Park Dr,Montross,22520,Residential
1,193,"Harvey, Kim F M",Muse's Beach,15178 Kings Hwy,Montross,225200000,Business
1,137,"Pouya, Arastoo Stu",Lock  Stock & Barrel,8262 Burr Hill Rd,Rhoadesville,22542,Business
1,137,Saw Auction Services Llc,We Sell Firearms,26322 Constitution Hwy,Rhoadesville,22542,Business
1,33,Harding Arm's Llc,No Business Name Provided,26667 Slash Pine Circle,Ruther Glen,22546,Residential
1,33,Double Down Outdoors Llc,Double Down Outdoors,25114 Richmond Turnpike,Ruther Glen,22546,Business
6,33,Frazier Ammunition Llc,No Business Name Provided,17473 Balty Rd,Rutherglen,22546,Residential
7,33,Higher Power Firearms Llc,Hpfllc/Hpf,109 Waverly Dr,Ruther Glen,22546,Business
7,33,Taylor Made Gunworx Llc,Taylor Made Gunworx,18159 Doggetts Fork Rd,Ruther Glen,22546,Business
7,33,Tactical Supply Center Llc,Tsc  Llc,29434 Secretariat Rd,Ruther Glen,225464128,Business
1,177,M1 Munitions Llc,No Business Name Provided,10714 Robert E Lee Dr,Spotsylvania,22551,Residential
1,177,Lake Anna Arms Llc,Lake Anna Arms,6230 Massey Rd,Spotsylvania,22551,Business
1,177,Erikson Diversified Industries,Republic Outdoor Equipment,9661 Nottoway Ln,Spotsylvania,22551,Business
1,177,"Brady, Terry Lynn",No Business Name Provided,9828 Fox Hunt Trail,Spotsylvania,22551,Residential
1,177,Eyeit Com Inc,No Business Name Provided,14920 Beaver Dam Dr,Spotsylvania,22551,Residential
1,177,Fregoso & Associates Llc,No Business Name Provided,9414 Quail Meadows Dr,Spotsylvania,22551,Residential
1,177,Anvil Solutions Llc,No Business Name Provided,6501 Courtneys Lane,Spotsylvania,22551,Residential
1,177,"Delozier, Lavida Kenyata Crystal",No Business Name Provided,9523 Logan Heights Circle,Spotsylvania,22551,Residential
7,177,Go Heels Tactical Llc,Aquila Arsenal,9307 Heritage Village Ct,Spotsylvania,22551,Business
7,177,"Ward Weapon Werx, Inc",W3,14920 Beaver Dam Drive Suite #4,Spotsylvania,22551,Business
7,177,"Stephansky, John James Jr",No Business Name Provided,9305 Wyndham Hill Lane,Spotsylvania,22551,Residential
7,177,Rideout Arsenal Llc,No Business Name Provided,11326 Wheeler Rd,Spotsylvania,22551,Residential
7,177,Willow Oak Manufacturing Llc,Modern Defense Implements,6312 Brokenburg Rd,Spotsylvania,22551,Business
7,177,Someday Precision Llc,Someday Rifle Company,9017 Old Blockhouse Road,Spotsylvania,22553,Business
1,179,Bedford Technical Services Llc,No Business Name Provided,16 Wheelwright Lane,Stafford,22554,Residential
1,179,Virginia Firearms Company Llc,No Business Name Provided,2050 Farragut Dr,Stafford,22554,Residential
1,179,"Stafford Arms & Ammo, Inc",No Business Name Provided,"2785 Richmond Highway, Unit 111",Stafford,22554,Residential
1,179,"Sutton, Tristan Forest",Luck In The Chamber,30 Wild Oak Lane Apt 202,Stafford,22554,Business
1,179,Arahs Tactical Llc,N2zee Com,4 Krismatt Ct,Stafford,22554,Business
1,179,Wal-Mart Stores East Lp,Walmart #2438,217 Garrisonville Rd,Stafford,22554,Business
1,179,Todd's Guns Llc,No Business Name Provided,87 Windermere Drive,Stafford,22554,Residential
1,179,"Triple J Security Services, Llc",The Triple J Group,7 Pinkerton Court,Stafford,22554,Business
1,179,Laser Bryce Llc,No Business Name Provided,201 Spinnaker Way ,Stafford,22554,Residential
2,179,Beltway Financial Inc,610 Pawn Express,418 Garrisonville Rd Suite 116,Stafford,22554,Business
7,179,"Eye Armor, Inc",Southern Custom Tactical Gear,30 Big Spring Ln,Stafford,22554,Business
7,179,Jones Professional Llc,No Business Name Provided,63 Dent Road,Stafford,22554,Residential
7,179,"American Crusader Tactical, Llc",No Business Name Provided,94 Northampton Blvd,Stafford,22554,Residential
7,179,Ssg Nfa 2 Inc,Ssg Tactical,556 Garrisonville Rd Ste 101,Stafford,22554,Business
7,179,"Citizen Action Arms, Llc",Citizen Arms,29 Charleston Court,Stafford,22554,Business
8,179,Arahs Tactical Llc,No Business Name Provided,4 Krismatt Ct,Stafford,22554,Residential
8,179,Utvik Custom Cartridges Llc,No Business Name Provided,21 Brittany Lane,Stafford,22554,Residential
1,179,"Pew, Robert G",Rgp Entpr,732 Hope Rd,Stafford,225540000,Business
1,179,"Fry, James Robert",Jr Fry & Associates,13 Bob White Lane,Stafford,225540000,Business
1,179,Turner Team Equine Rescue Inc,No Business Name Provided,9 Inman Overlook,Stafford,22556,Residential
1,179,"Grotenrath, Jack Clayton",J C Firearms,103 Saint Georges Dr,Stafford,22556,Business
1,179,Park Enterprises Llc,Diezel Arms,44 Orion Way,Stafford,22556,Business
7,179,Cavalry Drone Services Llc,B O S S / Black Ops Suppression Systems,16 Long Branch Ln,Stafford,22556,Business
7,179,Pacchelli Gunworks Llc,No Business Name Provided,1123 Lakeview Dr,Stafford,22556,Residential
11,179,American Rheinmetall Munition Inc,Amerrhein,"125 Woodstream Blvd, Suite #105",Stafford,22556,Business
1,57,"Va Smithery, Llc",No Business Name Provided,146 Piscataway Dr,Tappahannock,22560,Residential
7,57,3brothers Llc,3brothers,265 Mitchells Ln,Tappahannock,22560,Business
7,57,"Cervera, Albert J",No Business Name Provided,1209 Desha Rd,Tappahannock,225600000,Residential
1,57,Wal-Mart Stores East Lp,Walmart # 1730,1660 Tappahannock Blvd,Tappahannock,225609320,Business
1,137,"Clemente, John Robert Anthony",No Business Name Provided,29409 Mine Run Road,Unionville,22567,Residential
1,103,"Whaley, William Ray",No Business Name Provided,88 Simmons Ln,White Stone,22578,Residential
1,33,Asymmetric Solutions Development Llc,No Business Name Provided,8204 Paige Rd,Woodford,22580,Residential
7,177,Tyranny Not Allowed Llc,Tyranny Not Allowed,5409 Wooded Way,Woodford,225800000,Business
1,69,Mountaineer Fine Firearms Llc,No Business Name Provided,2509 Valley Ave,Winchester,22601,Residential
1,69,"Cherokee Nation Solutions Link, Llc",No Business Name Provided,150 Lee Avenue,Winchester,22601,Residential
1,69,Hobby Hutt Llc,Open Season Outfitters,325 West Boscawen Street,Winchester,22601,Business
7,69,Knight's Armor Guns & Ammunition Corporation,No Business Name Provided,1015 Berryvile Ave Suite #2,Winchester,22601,Residential
7,69,"Stonewall Arms, Llc",No Business Name Provided,2426 Valley Avenue,Winchester,22601,Residential
1,840,"Knight's Armor Security Training, Llc",No Business Name Provided,"1015 Berryville Avenue, Suite #2",Winchester,22601,Residential
1,840,"Benedict, Scott Corey",Pre 98 Antiques,19 Battery Dr,Winchester,22601,Business
1,840,Jno S Solenberger & Co Inc,No Business Name Provided,832 Berryville Ave,Winchester,22601,Residential
1,840,"Stonewall Arms, Llc",No Business Name Provided,2426 Valley Ave,Winchester,22601,Residential
2,840,Arwine Enterprises Inc,Bears Trading Post,710 Berryville Ave,Winchester,22601,Business
1,69,Steele Reloaders Llc,No Business Name Provided,694 North Loudoun St,Winchester,226010000,Residential
1,69,"Occhiuto, Michael James",Mocchi's Guns And Ammo,110 Cornstalk Trail,Winchester,22602,Business
1,69,"Armamnt, Llc",No Business Name Provided,225 Crossing Paths Ln,Winchester,22602,Residential
1,69,"Abrams Creek Enterprise, Llc",No Business Name Provided,102 Mill Race Drive,Winchester,22602,Residential
1,69,"Tucker, Stanley Richard",Mountain View Firearms,201 Furnace Rd,Winchester,22602,Business
1,69,"Sportman's Warehouse, Inc",Sportman's Warehouse #280,190 Delco Plaza,Winchester,22602,Business
1,69,"Cooper, Kenneth M",Cornerstone Arms,106 Wilkins Dr,Winchester,22602,Business
1,69,"Moyer, Bernard Charles",Heritage Arms And Restorations,123 Artillery Rd,Winchester,22602,Business
1,69,"Rigney, Zane Andrew",Archery On Demand,201 C W Cir,Winchester,22602,Business
1,69,"Squires, William John",Squires Guns,212 Bentley Ave,Winchester,22602,Business
7,69,Alpha Defensive Concepts Inc,Apple Country Customs,106 Asbury Road,Winchester,22602,Business
7,69,American Arms Llc,No Business Name Provided,1783 Springdale Rd Ste 100,Winchester,22602,Residential
7,69,"Appalachian Gunwerks, Llc",No Business Name Provided,411 Lily's Way,Winchester,22602,Residential
7,69,Southern Arms Llc,No Business Name Provided,116 Kinross Dr,Winchester,22602,Residential
7,69,Homeland Customs Llc,No Business Name Provided,128 Suite 4 Windy Hill Lane,Winchester,22602,Residential
1,69,"Saville, David Shayne",Dave's Gun Repair,495 Mcdonald Rd,Winchester,226020000,Business
1,69,"Scariot, Andrew Clarke",On Call Outfitters,889 Gough Rd,Winchester,226020000,Business
1,69,Wal-Mart Stores East Lp,Walmart #3344,501 Wal-Mart Dr,Winchester,22603,Business
1,69,Headley's Auctions Llc,Headley's Auctions,498 Long Green Ln,Winchester,22603,Business
1,69,Bear Run Firearms Llc,No Business Name Provided,123 Oak Drive,Winchester,22603,Residential
1,69,Frederick County Fabworks Llc,No Business Name Provided,441 Marple Rd,Winchester,22603,Residential
1,69,522 North Llc,No Business Name Provided,609 Brush Creek Road,Winchester,22603,Residential
7,69,Austin Arms & Ammunition Llc,No Business Name Provided,3405 Apple Pie Ridge Rd,Winchester,22603,Residential
7,69,"Taylors & Company, Inc",Taylors Firearms,304-310 Lenoir Dr,Winchester,22603,Business
1,69,"Shelton, Robert D & Shelton, Annelore",Automotive Enterprises,858 Poorhouse Rd,Winchester,226030000,Business
8,69,"Taylors & Company, Inc",No Business Name Provided,304-310 Lenoir Dr,Winchester,226030000,Residential
1,187,Round Mountain Guns Llc,No Business Name Provided,3255 Bentonville Rd,Bentonville,226100000,Residential
1,43,Ism Weapon Systems Inc,No Business Name Provided,3831 Harry Byrd Highway,Berryville,22611,Residential
1,43,Tlg Global Llc,No Business Name Provided,7 Josephine St,Berryville,22611,Residential
1,43,Hash Auctions Llc,No Business Name Provided,632 East Main St,Berryville,22611,Residential
1,43,Allrights Llc,No Business Name Provided,3271 Old Charles Town Rd,Berryville,22611,Residential
1,43,Defensive Solutions Training Llc,No Business Name Provided,304 Ashby Ct,Berryville,22611,Residential
7,43,Sauers & Sons Trading Llc,Sauers & Sons Firearms,408 Delany Ct,Berryville,22611,Business
8,43,Tlg Global Llc,No Business Name Provided,7 Josephine St,Berryville,22611,Residential
1,43,Ddk & Associates Llc,Boyce Trading Post,104 N Greenway Ave,Boyce,22620,Business
7,43,Custom Gunsmithing Inc,No Business Name Provided,11876 Lord Fairfax Hwy,Boyce,226200000,Residential
1,69,"Winters, Lloyd Clayton",No Business Name Provided,253 Ruebuck Rd,Clear Brook,226240000,Residential
1,69,"Goff, Charlie W",Goffs Gun Shop,10998 N Fred Pike,Cross Junction,226250000,Business
1,157,"Wagner, Wolfgang",No Business Name Provided,140 Big Bastard Mountain Ln,Flint Hill,22627,Residential
1,187,"Defensive Firearms Of Virginia, Llc",No Business Name Provided,659 Totten Ln,Front Royal,22630,Residential
1,187,Two Bear Arms Llc,No Business Name Provided,319 Highridge Rd,Front Royal,22630,Residential
1,187,Wal-Mart Stores East Lp,Wal-Mart #5105,10 Riverton Commons Dr,Front Royal,22630,Business
1,187,Main Street Guns Llc,No Business Name Provided,525 E Main St,Front Royal,22630,Residential
1,187,Rk Holdings Llp,No Business Name Provided,465 South St,Front Royal,22630,Residential
1,187,"Flint Ridge Services, Llc",Gladius Defense,140 Stonegate Lane,Front Royal,22630,Business
1,187,Qfc Llc,Quality First Armory,600 River Dr,Front Royal,22630,Business
1,187,Coatings Usa Llc,No Business Name Provided,116 Success Rd,Front Royal,22630,Residential
1,187,Gun Garage Llc,No Business Name Provided,53 Charlottes Lane,Front Royal,22630,Residential
2,187,Main Street Pawn Brokers Inc,No Business Name Provided,304 E Main St,Front Royal,22630,Residential
2,187,"Front Royal Pawnbrokers, Inc",Pawnbrokers Of Front Royal,21 Water St,Front Royal,22630,Business
7,187,"Jackalope Arms & Tactical, Llc",No Business Name Provided,275 Gary Ln,Front Royal,22630,Residential
7,187,Us Tactical Inc,Usti,425 Valley Rd,Front Royal,22630,Business
1,187,"Darr, Kenneth Lyle Jr",Ken Darr Gunsmithing,1559 Rivermont Dr,Front Royal,226300000,Business
1,187,"Sealock, Edward S",No Business Name Provided,602 Hunt Rd,Front Royal,226300000,Residential
1,69,"Fauver, Paul E",Gore Grocery,305 Gore Road,Gore,22637,Business
1,69,"Winters, John Leroy",Winters Firearms,442 Sawmill Dr,Gore,22637,Business
1,69,"Dunlap, Lohr E Jr",No Business Name Provided,2975 Carpers Pike,Gore,22637,Residential
1,187,"Brushy Hills Gun Works, Llc",No Business Name Provided,49 Wild Cherry Way,Linden,22642,Residential
1,61,"Peters, Charles Knowlton Jr",No Business Name Provided,3918 Leeds Manor Road,Markham,22643,Residential
1,171,"O'brien, Michael C",No Business Name Provided,11272 Back Rd,Maurertown,22644,Residential
1,171,"Viar, Dennis F Jr",D & D Hunting Supply,127 Hunt Club Ln,Maurertown,22644,Business
1,69,Middletown Firearms Llc,No Business Name Provided,7609 Main St,Middletown,22645,Residential
7,187,Performance Firearms Llc,No Business Name Provided,690 Comforter Lane,Middletown,226450000,Residential
1,139,Racer's Fire Extinguisher Llc,No Business Name Provided,138 Sunnyview Dr,Rileyville,22650,Residential
1,139,"Gindhart, Christopher Ian",Cavalier Firearms,422 Cavalier Rd,Rileyville,226500000,Business
1,171,"Drinkwater, Thomas H E",T & R Firearms & Shooting Supplies,2908 St. David's Church Rd,Fort Valley,22652,Business
6,171,"Drinkwater, Thomas H E",T & R Firearms & Shooting Supplies,2908 St. David's Church Rd,Fort Valley,22652,Business
1,69,New Town Auction Gallery Llc,No Business Name Provided,5025 Main St,Stephens City,22655,Residential
1,69,Backyard Ammunition Llc,No Business Name Provided,142 Nightingale Ave,Stephens City,22655,Residential
6,69,Backyard Ammunition Llc,No Business Name Provided,142 Nightingale Ave,Stephens City,22655,Residential
7,69,Miller Hardware Inc,No Business Name Provided,208  Centre Drive,Stephens City,22655,Residential
7,69,"Ck3 Guns, Llc",No Business Name Provided,118 Fairfax Dr,Stephens City,22655,Residential
8,69,Miller Hardware Inc,No Business Name Provided,208  Centre Drive,Stephens City,22655,Residential
7,187,Precision Arms Llc,No Business Name Provided,700 Foster Hollow Rd,Stephens City,22655,Residential
1,69,"Creekside Smithy, Llc",No Business Name Provided,335 Riverdale Cir,Stephenson,22656,Residential
1,69,Rudolph's Misfit Island Llc,No Business Name Provided,170 Monastery Ridge Road,Stephenson,22656,Residential
1,69,"Conn, John L",Jcs Firearms,310 Devils Backbone Ovlk,Stephenson,22656,Business
1,171,West End Enterprises Inc,West End Enterprises,722 Ash St,Strasburg,22657,Business
1,171,10x Gun & Machine Llc,No Business Name Provided,29690 Old Valley Pike,Strasburg,22657,Residential
7,171,"Long, Gregory Gene",American Gunworks,850 Red Bud Road,Strasburg,22657,Business
7,187,Tl Customs Llc,No Business Name Provided,71 Mountain Pond Rd,Strasburg,22657,Residential
1,171,"Downey, Roy M",No Business Name Provided,35081 Old Valley Pike,Strasburg,226570000,Residential
1,171,Joshs Gunsmithing Llc,No Business Name Provided,217 Country Brook Rd,Toms Brook,22660,Residential
1,171,Rebel Rose Outfitters Llc,No Business Name Provided,27460 Old Valley Pike,Toms Brook,22660,Residential
1,171,"Shenandoah Sporting Goods, Inc",No Business Name Provided,27460 Old Valley Pike,Toms Brook,22660,Residential
1,171,"Sours, Burton Olands, Jr",Stonewall Guns,124 Cattle Lane,Toms Brook,22660,Business
1,171,"Patton, Gregory A",Patton's Gunsmithing,22255 Old Valley Pike,Woodstock,22664,Business
1,171,Wal-Mart Stores East Lp,Wal-Mart #2647,461 W Reservoir Rd,Woodstock,22664,Business
1,171,E Del Enterprises Inc,G & S Wild Country Outfitters,23987 Senedo Rd,Woodstock,22664,Business
1,171,"Kingree, Dale Franklin",D & H Guns,43 Acorn Hill Lane,Woodstock,22664,Business
7,171,"Rsr Custom, Llc",Rsr,1115 Lakeview Dr,Woodstock,22664,Business
7,171,Shmokin Game Outdoors Llc,No Business Name Provided,1353 Artz Rd,Woodstock,22664,Residential
1,47,"Pro Arms, Llc",Pro Arms,13756 Eggbornsville Rd,Culpeper,22701,Business
1,47,Wal-Mart Stores East Lp,Wal-Mart Supercenter #2136,801 James Madison Hwy,Culpeper,22701,Business
1,47,Semper Liberi Llc,Old Brigade Outfitters,16153 Germanna Hwy,Culpeper,22701,Business
1,47,"Feaganes, James C Jr",James' Ammo And Guns,7487 Kirtley Trail,Culpeper,22701,Business
1,47,"Eltiste Stamp Acquisitions, Llc",Capitol Armory,15498 Fox Chase Lane,Culpeper,22701,Business
2,47,Full Circle Finance Inc,Valley Pawn,571 James Madison Highway Unit C,Culpeper,22701,Business
7,47,Showalter Design & Mfg Llc,No Business Name Provided,13228 Chestnut Fork Rd,Culpeper,22701,Residential
7,47,Sq Tactical Llc,No Business Name Provided,740 Yowell Drive,Culpeper,22701,Residential
7,47,"Walker, Jeffrey Lewis",Walker Custom Rifles/Wcr,19234 Inglewood Rd,Culpeper,22701,Business
7,47,Komar Enterprises Llc,No Business Name Provided,1705 Magnolia Circle,Culpeper,22701,Residential
7,47,"Semper Liberi, Llc",Old Brigade Outfitters,16153 Germanna Highway,Culpeper,22701,Business
7,47,Sel Holdings Llc,Federalist 29 Arms,14075 Mckinley Ln,Culpeper,22701,Business
8,47,"Tactical Boutique, Llc",No Business Name Provided,14507 Kingsmill Way,Culpeper,22701,Residential
1,47,Culpeper Machine & Supply Co,No Business Name Provided,105 Commerce St,Culpeper,227010000,Residential
1,47,"Carpenter, Jesse Boyd Iii",Bc Guns,123 E Evans St,Culpeper,227010000,Business
7,47,Hansohn Brothers Llc,No Business Name Provided,12310 Rose Cottage Lane,Culpeper,227014816,Residential
7,47,Immortal Q Llc,Immortal Arms,9398 Jamesons Mill Rd,Culpeper,227017149,Business
1,47,Bmaddox Enterprises Llc,Silencer Central,15498 Fox Chase Lane,Culpeper,227017301,Business
1,61,Eagle Glen Enterprises,Jeff Winholtz Gunsmith,7187 Botha Rd,Bealeton,22712,Business
1,61,Visceral Arms Llc,No Business Name Provided,11155 Eagle Ct,Bealeton,22712,Residential
1,47,Higher Power Llc,Higher Power Arms,11221 Gravel Rd,Brandy Station,22714,Business
1,47,"Steel Luxuries, Llc",No Business Name Provided,10266 Mount Zion Church Rd,Brandy Station,22714,Residential
1,157,"Dixon, George R",No Business Name Provided,29 Rolling Thunder Lane,Castleton,227160000,Residential
1,113,"Rag Mountain Guns & Ammo, Llc",No Business Name Provided,1977 Champe Plain Rd,Etlan,22719,Residential
1,113,M W P Supply Inc,No Business Name Provided,322 Washington Street,Madison,22727,Residential
1,113,"Gardner, Dennis C",Gardner's Gunshop,677 Resettlement Road,Madison,22727,Business
1,113,"Pete's Auction Service, Llc",No Business Name Provided,2858 North Seminole Trail,Madison,22727,Residential
6,113,"Gardner, Dennis Carroll",Gardner's Gunshop,677 Resettlement Rd,Madison,22727,Business
1,61,"Adaptive Consulting & Training Services, Llc",No Business Name Provided,2301 Soaring Eagle Rd,Midland,22728,Residential
1,61,"Reese, Tom William Jr",Para Power Firearms,5379 Herdland Ln,Midland,22728,Business
7,61,Commonwealth Protection Institute,Cpi,4818 Midland Rd,Midland,22728,Business
1,47,"Mckim, Robert Roswell",R R M Co,8602 General Winder Rd,Rapidan,227330000,Business
1,47,"Marowski, Joseph John",First Defense,9350 Dutch Hollow Rd,Rixeyville,22737,Business
7,47,Rivenoak Armoury Llc,No Business Name Provided,8396 Rixeyville Rd,Rixeyville,22737,Residential
1,113,Excalibur Arms Llc,No Business Name Provided,4009 S Blue Ridge Turnpike,Rochelle,22738,Residential
7,47,Dna Service And Repair Llc,Sst Firearms,13217 Major Brown Dr,Sperryville,22740,Business
1,113,"Graves Mountain Lodge, Inc",Syria Mercantile Co,3626 Old Blue Ridge Turnpike,Syria,22743,Business
1,157,Michael Stolar,Devil Dog Arms,7 Daiseys Rest Rd,Washington,22747,Business
7,157,Rappahannock Firearms Llc,Rappahannock Arms/Rapp Arms,246 Fletchers Mill Rd,Woodville,227491834,Business
1,165,Doves Camper Sales Inc,Doves Camper Sales Inc,2136 Rawley Pike,Harrisonburg,22801,Business
2,165,Jbs Pawn Llc,No Business Name Provided,1820 S Main St,Harrisonburg,22801,Residential
2,165,Full Circle Finance Inc,Dixie Pawn,1790 E Market Street Unit 22,Harrisonburg,22801,Business
7,165,Jack Keister Custom Inc,No Business Name Provided,4420 Rawley Pike,Harrisonburg,22801,Residential
7,165,Diorio Manufacturing Company Llc,No Business Name Provided,32 Silver Lake Rd,Harrisonburg,22801,Residential
1,660,Wal-Mart Stores East Lp,Wal-Mart Supercenter #2807,2160 John Wayland Hwy,Harrisonburg,22801,Business
1,660,"Neary, Martin W",Outdoor Specialties,475 Preston Dr,Harrisonburg,22801,Business
1,660,"Rockingham Cooperative Farm Bureau, Inc",No Business Name Provided,1044 S High Street,Harrisonburg,22801,Residential
1,660,"Liberty Arms, Llc",No Business Name Provided,1854 East Market St #104,Harrisonburg,22801,Residential
7,660,"Ataka Industries, Llc","Ataka Industries, Ai",1854 E Market St Ste 101,Harrisonburg,22801,Business
1,660,"Tactical & Survival Specialties, Llc",Tssi,3900 Early Rd,Harrisonburg,228010000,Business
1,660,"Ritenour, Jon D",Homestead Gunsmith Shop,2041 Spaders Church Rd,Harrisonburg,228010000,Business
9,660,"Tactical & Survival Specialties, Llc",Tssi,3900 Early Road,Harrisburg,228019788,Business
1,165,Shane's Firearm Destination Llc,No Business Name Provided,870 A N Liberty St,Harrisonburg,22802,Residential
1,165,"James Wells Jr Auctioneering, Inc",No Business Name Provided,2558 Melrose Rd,Rockingham,22802,Residential
