year,patient_city_county,firearm_injury_visits,total_ed_visits,rate_of_firearm_injuries_per_10k_ed_visits
2016,Goochland,1,7424,1.3
2019,Grayson County and Galax City,3,16261,1.8
2022,Grayson County and Galax City,6,13039,4.6
2017,Greensville County and Emporia City,20,10278,19.5
2020,Greensville County and Emporia City,11,10186,10.8
2023,Greensville County and Emporia City,13,11710,11.1
2017,Halifax,10,21245,4.7
2020,Halifax,14,15625,9
2023,Halifax,25,18727,13.3
2020,Hampton,118,57802,20.4
2023,Hampton,89,73456,12.1
2021,Hanover,21,38186,5.5
2021,Henry County and Martinsville City,47,34124,13.8
2016,Highland,0,872,0
2023,King and Queen,2,4132,4.8
2017,King William,0,6917,0
2020,King William,9,6459,13.9
2023,King William,1,8869,1.1
2017,Lancaster,1,4820,2.1
2020,Lancaster,10,4208,23.8
2023,Lancaster,9,5987,15
2019,Louisa,13,17549,7.4
2022,Louisa,15,19266,7.8
2017,Mecklenburg,7,17218,4.1
2020,Mecklenburg,12,14533,8.3
2023,Mecklenburg,7,17385,4
2018,Montgomery County and Radford City,9,36153,2.5
2021,Montgomery County and Radford City,5,37136,1.3
2017,New Kent,3,8377,3.6
2020,New Kent,3,8794,3.4
2023,New Kent,7,13735,5.1
2018,Orange,0,11469,0
2021,Orange,4,12350,3.2
2015,Out of State,164,183223,9
2018,Out of State,176,172175,10.2
2021,Out of State,313,172764,18.1
2016,Page,6,17567,3.4
2015,Prince George County,NA,NA,NA
2018,Prince George County,NA,NA,NA
2021,Prince George County,NA,NA,NA
2023,Prince William County,NA,NA,NA
2017,Rappahannock,0,2266,0
2020,Rappahannock,0,1666,0
2020,Richmond City,321,136907,23.4
2023,Richmond City,283,160701,17.6
2015,Roanoke County,NA,NA,NA
2018,Roanoke County,NA,NA,NA
2015,Rockingham County and Harrisonburg City,16,64379,2.5
2018,Rockingham County and Harrisonburg City,30,55734,5.4
2021,Rockingham County and Harrisonburg City,17,50150,3.4
2015,Scott,0,2112,0
2018,Scott,1,1783,5.6
2021,Scott,0,1646,0
2016,Shenandoah,8,26977,3
2018,Smyth,5,20757,2.4
2021,Smyth,0,18842,0
2015,Southampton County and Franklin City,8,7618,10.5
2018,Southampton County and Franklin City,3,18322,1.6
2021,Southampton County and Franklin City,15,17296,8.699999999999998
2015,Suffolk,30,48957,6.1
2018,Suffolk,12,48720,2.5
2021,Suffolk,33,48067,6.9
2015,Sussex,4,2752,14.5
2018,Sussex,12,7141,16.8
2021,Sussex,6,7754,7.7
2017,Tazewell,1,11490,0.9
2018,Warren,6,22839,2.6
2021,Warren,1,21243,0.5
2018,Washington County and Bristol City,2,20863,1
2021,Washington County and Bristol City,3,16742,1.8
2015,Westmoreland,1,9877,1
2020,Williamsburg,0,295,0
2023,Williamsburg,0,279,0
2015,Wythe,2,5081,3.9
2018,Wythe,1,15687,0.6
2023,York,9,15928,5.7
2023,Out of State,227,200613,11.3
2015,Page,8,18285,4.4
2018,Page,11,15870,6.9
2021,Page,6,15399,3.9
2017,Pittsylvania County and Danville City,56,45127,12.4
2020,Pittsylvania County and Danville City,39,39659,9.8
2023,Pittsylvania County and Danville City,71,57622,12.3
2018,Poquoson,0,2040,0
2021,Poquoson,1,3581,2.8
2016,Portsmouth,60,75704,7.9
2016,Prince William County,NA,NA,NA
2017,Pulaski,6,21403,2.8
2019,Richmond County,2,4872,4.1
2022,Richmond County,6,5024,11.9
2019,Rockbridge County,NA,NA,NA
2022,Rockbridge County,NA,NA,NA
2016,Russell,4,15398,2.6
2019,Russell,2,16603,1.2
2022,Russell,3,14971,2
2023,Shenandoah,8,28464,2.8
2015,Spotsylvania,17,55070,3.1
2018,Spotsylvania,8,50559,1.6
2021,Spotsylvania,23,58250,3.9
2020,Stafford,11,42476,2.6
2023,Stafford,11,59882,1.8
2015,Surry,2,2753,7.3
2018,Surry,0,2615,0
2016,Virginia Beach,89,179231,5
2019,Virginia Beach,66,180856,3.6
2022,Westmoreland,3,9450,3.2
2021,Wise County and Norton City,10,25772,3.9
2016,York,10,13506,7.4
2022,Pittsylvania County and Danville City,77,56808,13.6
2016,Poquoson,0,3527,0
2019,Poquoson,1,3636,2.8
2015,Portsmouth,56,74989,7.5
2018,Portsmouth,79,72453,10.9
2021,Portsmouth,110,67090,16.4
2019,Powhatan,3,9766,3.1
2022,Powhatan,12,10631,11.3
2016,Pulaski,11,21836,5
2019,Pulaski,3,17893,1.7
2022,Pulaski,10,21669,4.6
2015,Richmond City,201,158677,12.7
2018,Richmond City,152,156636,9.7
2017,Richmond County,0,2980,0
2017,Roanoke County,NA,NA,NA
2020,Roanoke County,NA,NA,NA
2023,Roanoke County,NA,NA,NA
2017,Rockbridge County,NA,NA,NA
2020,Rockbridge County,NA,NA,NA
2020,Rockingham County and Harrisonburg City,20,46455,4.3
2023,Rockingham County and Harrisonburg City,14,57809,2.4
2020,Scott,1,1378,7.3
2023,Scott,1,1907,5.2
2015,Shenandoah,4,26605,1.5
2018,Shenandoah,6,26003,2.3
2021,Shenandoah,7,25572,2.7
2016,Smyth,6,22669,2.6
2019,Smyth,5,21522,2.3
2016,Southampton County and Franklin City,7,17892,3.9
2020,Spotsylvania,19,49048,3.9
2023,Spotsylvania,16,72218,2.2
2015,Stafford,14,49818,2.8
2018,Stafford,9,45081,2
2021,Stafford,12,50711,2.4
2020,Suffolk,32,43564,7.3
2023,Suffolk,35,58536,6
2020,Surry,0,2852,0
2023,Surry,1,3397,2.9
2020,Sussex,11,7200,15.3
2023,Sussex,12,9219,13
2016,Tazewell,5,11371,4.4
2019,Tazewell,9,23617,3.8
2022,Tazewell,3,21853,1.4
2018,Virginia Beach,77,172419,4.5
2021,Virginia Beach,113,165549,6.8
2015,Williamsburg,0,417,0
2018,Williamsburg,0,293,0
2021,Williamsburg,0,328,0
2017,Wythe,2,5631,3.6
2020,Wythe,9,16317,5.5
2023,Wythe,6,19539,3.1
2016,Out of State,188,183070,10.3
2019,Out of State,198,176847,11.2
2022,Out of State,262,186549,14
2019,Page,1,16943,0.6
2022,Page,4,16975,2.4
2016,Pittsylvania County and Danville City,65,41459,15.7
2019,Pittsylvania County and Danville City,54,47366,11.4
2017,Poquoson,2,2635,7.599999999999999
2020,Poquoson,3,3225,9.3
2023,Poquoson,0,4209,0
2017,Portsmouth,48,73424,6.5
2020,Portsmouth,118,62481,18.9
2023,Powhatan,3,11144,2.7
2017,Prince William County,NA,NA,NA
2020,Prince William County,NA,NA,NA
2015,Pulaski,3,22219,1.4
2018,Pulaski,9,19585,4.6
2021,Pulaski,6,19606,3.1
2023,Rappahannock,1,2339,4.3
2015,Richmond County,1,4300,2.3
2018,Richmond County,0,1376,0
2021,Richmond County,4,4652,8.599999999999998
2021,Roanoke County,NA,NA,NA
2023,Rockbridge County,NA,NA,NA
2017,Russell,5,14892,3.4
2020,Russell,2,12870,1.6
2023,Russell,4,14866,2.7
2019,Shenandoah,13,26911,4.8
2022,Shenandoah,2,27622,0.7
2016,Spotsylvania,16,57080,2.8
2019,Spotsylvania,11,52173,2.1
2022,Spotsylvania,16,62091,2.6
2016,Stafford,17,51471,3.3
2019,Stafford,16,51441,3.1
2022,Stafford,15,55659,2.7
2016,Surry,1,2901,3.4
2019,Surry,3,3158,9.5
2022,Surry,1,3144,3.2
2020,Tazewell,14,19163,7.3
2023,Tazewell,11,22304,4.9
2017,Virginia Beach,79,175268,4.5
2020,Virginia Beach,110,151557,7.3
2023,Virginia Beach,109,184866,5.9
2015,Warren,5,24252,2.1
2015,Washington County and Bristol City,6,25844,2.3
2017,Wise County and Norton City,9,37374,2.4
2020,Wise County and Norton City,9,22931,3.9
2023,Wise County and Norton City,3,26308,1.1
2017,York,0,10670,0
2020,York,7,12596,5.6
